t,f_ext_x,f_ext_y,f_ext_z,f_ext_phi,f_ext_motion_0,f_ext_motion_1,f_ext_motion_2,f_ext_motion_3,f_ext_motion_4,tau_v_0,tau_v_1,tau_v_2,tau_v_3,tau_v_4,tau_v_5,tau_v_6,tau_x_0,tau_x_1,tau_x_2,tau_x_3,tau_x_4,tau_x_5,tau_x_6,tau_phi_0,tau_phi_1,tau_phi_2,tau_phi_3,tau_phi_4,tau_phi_5,tau_phi_6,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.000000000000000000e+00,-1.395509521643384154e+00,1.778483768035519774e-01,8.947437907549624647e-01,8.943561412053255832e-01,-1.395509521643384154e+00,1.797876216944252203e-01,4.898216424098644772e-01,-7.548777989672131872e-01,8.654779947398071049e-02,5.439402199188031473e-02,5.598466413051486970e-03,7.273380971601179149e-03,3.818490760516745405e-03,1.650825163452060082e-02,-1.611856131988454561e-05,-9.718716489300267478e-03,-3.511562208317142719e-01,-8.980834599940491492e-01,2.692739264102772534e+00,2.333189032880531033e-02,-5.583370857997909109e-01,6.403561143623284768e-02,-2.312855656184627851e+00,1.214263309880724007e-02,5.531608209196289039e+00,4.748830779074447728e-01,-2.834485039559242026e+00,-4.366691578354705422e-02,-1.039647985644199135e+00,4.048665007564952230e-17,-2.846195657410267033e-01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-5.854957499488173678e-01,-9.756284927692862041e-01,-1.000000000000000000e+00
1.000000000000000021e-03,-1.398835695437775417e+00,1.744674857205065210e-01,8.995898137615846446e-01,8.992095486669163806e-01,-1.398835695437775417e+00,1.764169044719871016e-01,4.917303208424002037e-01,-7.576053908598012754e-01,8.516177365487892503e-02,5.727970700299812173e-02,5.895472420791399680e-03,7.659225721602284410e-03,4.021066662698980117e-03,1.738403577278908180e-02,-1.697367887740761273e-05,-1.023430702191580402e-02,-3.384535071503882442e-01,-8.977704659639368368e-01,2.706391916781863749e+00,2.127358370596965642e-02,-5.599824430195661229e-01,6.401114234075452880e-02,-2.312481363946431223e+00,1.214031085150818479e-02,5.531513868906299258e+00,4.748721466092001298e-01,-2.834438993825556086e+00,-4.366578770940280491e-02,-1.039630575846461458e+00,-4.048594269607030224e-17,-2.690334892958819446e-01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-5.862641949561797627e-01,-9.756364071845843311e-01,-1.000000000000000000e+00
2.000000000000000042e-03,-1.402854467935795935e+00,1.718170593032679605e-01,9.120350644559450659e-01,9.116584597128537526e-01,-1.402854467935795935e+00,1.738042390126587622e-01,4.938705662167905408e-01,-7.636087410321779068e-01,8.419101669248679753e-02,6.911645815799269399e-02,7.113771544158247612e-03,9.242101812668221741e-03,4.852018754211609441e-03,2.097644208190922038e-02,-2.048119682117285391e-05,-1.234922342265595309e-02,-3.025352908611305125e-01,-9.041125682781082640e-01,2.738783091792628355e+00,3.727382394225031703e-02,-5.655408134036148393e-01,6.526210514812219587e-02,-2.309688915541808107e+00,1.222481712153782388e-02,5.539789538924382306e+00,4.756589641023262205e-01,-2.838665038341700253e+00,-4.374081798483433342e-02,-1.041185054690546785e+00,0.000000000000000000e+00,-2.211940155815999842e-01,2.000000000000000000e+00,2.000000000000000000e+00,-2.000000000000000000e+00,-5.883051893065399662e-01,-9.759434307392458319e-01,-2.000000000000000000e+00
3.000000000000000062e-03,-1.407589991278361374e+00,1.735163786643213746e-01,9.266997874090916465e-01,9.263162707859105005e-01,-1.407589991278361374e+00,1.755522603845349749e-01,4.950878605459246851e-01,-7.706334698672427930e-01,8.528561588772855251e-02,3.412033820301590276e-02,3.511902616222356034e-03,4.562454353268662229e-03,2.395269804099922715e-03,1.035532521730526435e-02,-1.011054209600163248e-05,-6.096374472770486712e-03,-2.528201590813035082e-01,-8.830969263903570843e-01,2.783711165253413888e+00,-1.028693658132220912e-02,-5.715539775573610370e-01,6.137956375466113723e-02,-2.303261295439515077e+00,1.226721470051341835e-02,5.513252998358955992e+00,4.735021143303235203e-01,-2.825084544997373825e+00,-4.354610160011214426e-02,-1.036202675866252809e+00,1.418705400096120073e-18,-2.064326061777741750e-01,3.000000000000000000e+00,3.000000000000000000e+00,-2.832976211774596020e+00,-6.047447539401679117e-01,-9.748332226536876588e-01,-2.309357669912285527e+00
4.000000000000000083e-03,-1.413444023971020647e+00,1.803934490470712471e-01,9.384989500868091694e-01,9.380973986764276074e-01,-1.413444023971020647e+00,1.824701245948525119e-01,4.950810471345337693e-01,-7.766102382032783469e-01,8.881244768315574301e-02,1.715125023130325069e-02,1.765364955959599193e-03,2.293373048288236717e-03,1.204027118431198968e-03,5.205259695269357119e-03,-5.085233294374840772e-06,-3.064432656219493421e-03,-2.483841096781929103e-01,-9.014425111818488157e-01,2.790058078219479931e+00,2.873721288333425106e-02,-5.717481264045383149e-01,6.607422185672934267e-02,-2.303725380395692746e+00,1.241498895149638348e-02,5.539660109168539570e+00,4.758801253552167321e-01,-2.838595474985860623e+00,-4.376793439941480124e-02,-1.041160486998856660e+00,0.000000000000000000e+00,-2.188178704953932519e-01,4.000000000000000000e+00,3.268231576622985024e+00,-2.808654234984095499e+00,-6.103108011086838536e-01,-9.750913503754216061e-01,-2.306789813051912219e+00
5.000000000000000104e-03,-1.418203920327831158e+00,1.859985132879723724e-01,9.488183785698998118e-01,9.484153466964947432e-01,-1.418203920327831158e+00,1.880427946184519417e-01,4.955099944188025574e-01,-7.817893889976840205e-01,9.180709498968969706e-02,4.837887998029667680e-02,4.979221170102627984e-03,6.469040686824446829e-03,3.396278092294124137e-03,1.468266899632217001e-02,-1.434959203482550763e-05,-8.643962219744054376e-03,-3.191789191773892753e-01,-9.006403947036862867e-01,2.712125656393347573e+00,3.780003563063075167e-02,-5.646277238728498737e-01,6.445153435221853688e-02,-2.307535017515794706e+00,1.210008872703931433e-02,5.545057016371093717e+00,4.759471779292856475e-01,-2.841367122025071801e+00,-4.376117900160746838e-02,-1.042172231861069331e+00,1.399385237266660363e-18,-2.586999504700532859e-01,4.649395842837509285e+00,3.194541875009457854e+00,-2.800170808302147041e+00,-5.937062338781351478e-01,-9.777350471008856569e-01,-2.316178979735538768e+00
6.000000000000000125e-03,-1.418944323764163240e+00,1.830505991106368691e-01,9.634418484693902940e-01,9.630454912196755313e-01,-1.418944323764163240e+00,1.851245501232412771e-01,4.980955138626534384e-01,-7.881222351979908503e-01,9.085653041503979899e-02,7.434367165334490601e-02,7.651522160657603551e-03,9.941115683485683349e-03,5.219027237459796832e-03,2.256282345083971547e-02,-2.204578202760270209e-05,-1.328315533287854726e-02,-3.000720713633335812e-01,-9.227327396726189290e-01,2.733498899814586380e+00,8.422788616416415630e-02,-5.653297685053331190e-01,7.000874191250230916e-02,-2.305375503588916519e+00,1.215109907340985833e-02,5.573405258926540817e+00,4.783689297513907257e-01,-2.855877528436021606e+00,-4.398387233732303780e-02,-1.047496917111309767e+00,-4.079270935993729116e-17,-2.135773006365788429e-01,4.658324041414579675e+00,3.221808945249462930e+00,-2.766430615034397800e+00,-5.867508173918164482e-01,-9.775102209808350651e-01,-2.318658658921795013e+00
7.000000000000000146e-03,-1.415661245505179799e+00,1.749378097629759321e-01,9.867121402080543113e-01,9.863279595356003737e-01,-1.415661245505179799e+00,1.770910532945279559e-01,5.018958061283215200e-01,-7.974045941501367585e-01,8.748759897709196265e-02,5.033703380638916702e-02,5.180881893971673625e-03,6.730992655731631198e-03,3.533736974131609573e-03,1.527692420098404960e-02,-1.493183997052195849e-05,-8.993809224508719086e-03,-2.337405165216539515e-01,-9.150877602499595254e-01,2.791126887600329454e+00,6.856509613571887263e-02,-5.749117384081920967e-01,6.968585036894520135e-02,-2.298076020891165694e+00,1.229282515838012353e-02,5.561994520734867109e+00,4.775893500323302732e-01,-2.850016292056090084e+00,-4.391841699797047194e-02,-1.045351926009082222e+00,3.928769237153272192e-17,-1.711106575568846488e-01,4.652087642378878840e+00,3.275447230288391243e+00,-2.777917458946239648e+00,-6.035532312051785642e-01,-9.756810074801074428e-01,-2.307069830115674236e+00
8.000000000000000167e-03,-1.410415495122268492e+00,1.669343192718533708e-01,1.013872703878903270e+00,1.013508817820390817e+00,-1.410415495122268492e+00,1.691295444970783157e-01,5.053923597240040921e-01,-8.079462862232045239e-01,8.414711915926458008e-02,5.560896515162777609e-02,5.723454235589300887e-03,7.435991578720820699e-03,3.903798632836774293e-03,1.687691733412130871e-02,-1.648756609043209854e-05,-9.935755151459524717e-03,-2.698004276968108961e-01,-9.111777065495282324e-01,2.756193145816120182e+00,5.875895641039938222e-02,-5.695101173095851177e-01,6.969988749171018849e-02,-2.300014348155803301e+00,1.218804138042306993e-02,5.558109193985090180e+00,4.771463454747759125e-01,-2.848033614219166676e+00,-4.387436288563118653e-02,-1.044620474637539598e+00,1.409557934637574120e-18,-2.020034211647600553e-01,4.652654941671150901e+00,3.240775482869616919e+00,-2.785370859175930303e+00,-5.965075628610949643e-01,-9.749370747119198155e-01,-2.309950103307262914e+00
9.000000000000001055e-03,-1.405044383815178266e+00,1.571482585513490626e-01,1.036085481999330593e+00,1.035744128956638033e+00,-1.405044383815178266e+00,1.593825602359365545e-01,5.088634557772350187e-01,-8.163275554129272304e-01,8.002467793536616192e-02,1.889832099568992604e-02,1.945035372506911291e-03,2.526909479079506894e-03,1.326564146804455656e-03,5.735367836068219760e-03,-5.587606488905165146e-06,-3.376511516165878711e-03,-2.477668706082090111e-01,-9.034168856790024682e-01,2.766213600734805933e+00,4.294428922073076360e-02,-5.664843041537326318e-01,7.152028118890757513e-02,-2.285051776036680415e+00,1.212656064922856651e-02,5.552484297419341353e+00,4.765899404799839867e-01,-2.845150648797568405e+00,-4.382277266861967641e-02,-1.043550513344501107e+00,0.000000000000000000e+00,-2.167419889632905272e-01,4.651012447112846004e+00,3.245330450693869384e+00,-2.800879795430033070e+00,-6.045717089862840954e-01,-9.720358197620825313e-01,-2.288428287552846108e+00
