epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
60,-714.9426,501.0,-0.005881,1972.696899,0.016875,8,8,3.0177,2.7578,2.6782,17.99
61,-692.2343,501.0,-0.017359,1407.902100,0.012677,80,8,2.6356,2.2420,2.2266,19.70
62,-684.9132,501.0,-0.005967,1885.491211,0.017112,10,8,2.8116,2.5758,2.2737,19.65
63,-653.0541,501.0,-0.004635,1318.113403,0.015587,9,8,2.9113,2.1881,1.9334,19.18
64,-614.8361,501.0,-0.004788,1319.671265,0.015486,10,8,2.4106,2.2266,1.9376,17.79
65,-648.0481,501.0,-0.011883,1198.630981,0.015145,39,8,2.2062,2.4069,2.2716,18.90
66,-628.4122,501.0,-0.005821,1848.513672,0.017873,7,8,2.3911,2.2259,1.6897,18.61
67,-779.0068,501.0,-0.007903,6369.804688,0.016669,7,8,3.4840,2.1342,2.0840,18.30
68,-614.2401,501.0,-0.009872,1406.720093,0.015037,35,8,2.2203,2.1780,2.3893,18.92
69,-619.6270,501.0,-0.004839,1053.291870,0.015866,8,8,2.4225,2.0248,1.9092,18.25
70,-601.6787,501.0,-0.005685,1482.649048,0.016109,8,8,2.0620,2.2046,1.6249,18.67
71,-593.4945,501.0,-0.004371,1396.113037,0.015961,7,8,2.2619,2.2880,2.1863,19.53
72,-680.6445,501.0,-0.006668,1572.165283,0.015722,8,8,2.2843,2.6229,1.8073,18.60
73,-608.1035,501.0,-0.004638,1130.713257,0.018054,8,8,1.9923,2.2242,1.8971,18.31
74,-689.6584,501.0,-0.005006,2067.810059,0.016126,7,8,2.6792,2.2198,2.1118,18.84
75,-584.2178,501.0,-0.017261,851.838440,0.015065,79,8,2.0622,2.2852,1.7253,18.98
76,-539.2107,501.0,-0.005577,1051.725464,0.015831,9,8,2.2965,1.6729,1.7718,19.82
77,-573.4141,501.0,-0.003993,958.644165,0.015667,7,8,1.9025,1.8907,1.8207,19.30
78,-559.6315,501.0,-0.008247,878.868225,0.015358,16,8,2.0638,2.1620,1.8531,18.33
79,-595.0466,501.0,-0.005753,1690.729614,0.015590,8,8,1.9575,2.1919,2.0648,19.06
80,-548.8670,501.0,-0.004704,1061.067871,0.016586,7,8,1.8917,2.0973,1.5081,18.64
81,-596.7671,501.0,-0.004982,929.401428,0.015512,6,8,2.2593,2.1915,2.3144,18.84
82,-529.0062,501.0,-0.004615,777.789368,0.016803,7,8,1.7460,2.0140,1.5399,17.63
83,-541.6896,501.0,-0.003994,876.691223,0.016250,6,8,1.8240,2.1121,2.0156,17.73
84,-531.9033,501.0,-0.003621,750.257141,0.015220,7,8,1.8835,1.8127,2.2086,17.75
85,-575.6027,501.0,-0.005257,1404.040283,0.016684,6,8,2.2179,2.3162,1.8149,17.90
86,-549.2525,501.0,-0.004858,2165.346191,0.017283,6,8,2.5207,2.3167,2.1983,18.55
87,-598.0342,501.0,-0.003616,647.681091,0.016171,8,8,1.7564,2.2399,2.1409,18.60
88,-573.0002,501.0,-0.004197,798.336243,0.015452,7,8,2.1008,2.3061,2.2465,19.16
89,-539.2411,501.0,-0.004310,1122.255249,0.017915,7,8,2.1112,2.4570,2.3090,18.76
90,-624.3613,501.0,-0.003421,1107.263550,0.015159,7,8,2.0044,2.7984,2.2249,18.21
91,-557.4655,501.0,-0.003999,951.201538,0.015063,7,8,2.1725,1.9490,nan,18.47
92,-539.8744,501.0,-0.004738,1038.887939,0.015763,9,8,2.3939,1.9957,1.8699,18.20
93,-572.1524,501.0,-0.005354,994.960510,0.015701,13,8,2.2646,2.5053,2.5625,17.96
94,-555.8159,501.0,-0.004748,840.856812,0.017229,8,8,2.0539,1.9835,2.1021,17.81
95,-539.9969,501.0,-0.003937,1180.224731,0.015039,7,8,2.1696,1.9285,1.9037,17.83
96,-592.0550,501.0,-0.004921,1033.362549,0.015980,9,8,2.1817,1.9045,nan,18.76
97,-518.3931,501.0,-0.003595,910.682007,0.016081,8,8,1.8384,2.2227,1.9642,17.60
98,-543.3485,501.0,-0.004252,740.270874,0.015461,8,8,1.9759,1.6281,1.2612,17.51
99,-529.1454,501.0,-0.005136,744.896118,0.016388,9,8,2.0385,1.9675,1.6396,17.69
100,-508.9154,501.0,-0.006295,789.494141,0.016247,10,8,1.5953,2.2276,2.4146,18.33
101,-782.4388,501.0,-0.010849,33743.363281,0.016859,8,8,3.5997,2.1433,1.4392,17.84
102,-520.7531,501.0,-0.003465,998.773987,0.016737,8,8,1.8868,2.2372,2.0892,17.91
103,-543.1849,501.0,-0.004222,817.987732,0.018007,9,8,2.0160,2.0794,1.8556,18.00
104,-535.8144,501.0,-0.004056,1039.469971,0.016982,7,8,2.0836,2.0540,1.9230,17.89
105,-497.6161,501.0,-0.003580,718.828918,0.015853,10,8,2.0345,1.6442,1.6397,18.53
106,-486.9845,501.0,-0.004325,725.573547,0.016246,7,8,1.7310,1.7315,1.6297,18.71
107,-515.9370,501.0,-0.003838,627.127441,0.016708,7,8,1.8712,1.3477,1.4089,17.91
108,-489.9513,501.0,-0.004520,776.622559,0.015323,7,8,1.8574,1.9596,1.8132,17.89
109,-511.0414,501.0,-0.003646,622.237610,0.015018,8,8,1.7826,1.7799,1.8140,17.77
110,-543.7193,501.0,-0.005812,2306.683594,0.017507,6,8,1.8962,2.6895,1.0056,17.96
111,-521.4111,501.0,-0.003033,602.284180,0.016482,7,8,1.9533,1.6540,1.5443,17.72
112,-467.4549,501.0,-0.004333,590.020142,0.015713,11,8,1.6002,1.6496,1.4752,17.71
113,-463.0944,501.0,-0.005254,622.038452,0.015861,9,8,1.7520,2.0755,1.8219,18.20
114,-499.5119,501.0,-0.004330,605.489014,0.016492,9,8,1.8613,2.1091,1.7374,17.89
115,-506.1872,501.0,-0.006042,646.453796,0.016204,10,8,2.2699,1.7401,1.8996,17.92
116,-498.9205,501.0,-0.003331,656.002136,0.015327,10,8,1.9461,1.9093,1.7799,18.09
117,-481.3327,501.0,-0.004082,608.741577,0.015252,7,8,1.9568,1.6825,2.0086,17.84
118,-500.3765,501.0,-0.004142,645.620483,0.015335,11,8,1.7846,2.0871,1.7443,17.81
119,-450.8721,501.0,-0.005183,649.442261,0.015263,9,8,1.6602,1.8653,nan,18.41
120,-471.9111,501.0,-0.004256,826.528809,0.015955,8,8,1.7683,1.9272,1.5183,18.65
121,-477.0366,501.0,-0.005542,615.610901,0.016310,7,8,1.4674,1.9881,1.8050,18.55
122,-468.0853,501.0,-0.013112,718.860779,0.015074,50,8,1.9436,1.8411,1.3214,18.14
123,-470.2110,501.0,-0.004226,467.920471,0.015136,7,8,1.7906,1.7065,1.8661,17.59
124,-545.7517,501.0,-0.006531,2358.063232,0.018620,6,8,1.9668,1.9505,2.0646,17.80
125,-467.2937,501.0,-0.004033,568.846497,0.015806,10,8,1.6102,1.9604,3.0935,18.36
126,-451.2424,501.0,-0.003056,658.248108,0.016378,9,8,1.5783,1.6483,1.8065,18.22
127,-448.7356,501.0,-0.004975,560.004761,0.015210,11,8,1.7752,1.4898,1.9318,18.16
128,-559.7243,501.0,-0.006371,3280.043945,0.015742,5,8,2.8712,1.7523,1.4554,17.85
129,-465.1378,501.0,-0.003557,629.195435,0.016500,8,8,1.9778,1.7826,1.5533,17.99
130,-495.1530,501.0,-0.004214,906.512390,0.015511,7,8,1.9162,2.0691,1.5270,17.83
131,-474.0394,501.0,-0.003810,562.994263,0.016783,7,8,1.4349,1.4483,1.7523,18.51
132,-423.8070,501.0,-0.010420,454.056946,0.015024,43,8,1.6320,1.5896,1.2681,18.27
133,-443.0321,501.0,-0.009462,674.195984,0.015205,29,8,1.9291,1.6640,1.1298,17.74
134,-446.7429,501.0,-0.005417,424.891357,0.015433,11,8,1.5353,1.5393,1.7874,18.30
135,-447.4934,501.0,-0.004645,783.931335,0.017132,7,8,1.4306,1.8028,1.1193,18.73
136,-470.3133,501.0,-0.007451,1183.879517,0.018415,8,8,2.0055,1.6697,1.7434,19.11
137,-514.6458,501.0,-0.006392,1742.321899,0.018805,6,8,2.0960,1.6670,1.2162,17.75
138,-411.2237,501.0,-0.003608,557.717041,0.016873,7,8,1.4801,1.3252,1.3727,17.92
139,-416.7703,501.0,-0.005159,464.406464,0.016296,9,8,1.3520,1.7936,1.6571,17.95
140,-434.4659,501.0,-0.004125,521.008423,0.015200,7,8,1.5739,1.6401,1.4761,17.83
141,-428.4965,501.0,-0.002933,495.967255,0.015301,8,8,1.6477,1.5338,1.7364,18.03
142,-421.3136,501.0,-0.006637,824.684082,0.015679,8,8,1.7236,1.4203,1.3808,18.33
143,-434.7458,501.0,-0.005128,511.063049,0.016972,8,8,1.6465,1.5491,1.4315,17.82
144,-452.1608,501.0,-0.004010,557.402588,0.016345,9,8,1.4858,1.6116,1.2876,17.83
145,-395.8722,501.0,-0.004392,486.722931,0.016353,9,8,1.4820,1.4217,1.6129,17.91
146,-408.2011,501.0,-0.003594,389.468597,0.016258,9,8,1.4428,1.2899,1.1427,17.91
147,-432.8083,501.0,-0.004910,455.319489,0.015980,9,7,1.4159,1.6331,1.7613,17.92
148,-408.3472,501.0,-0.003953,401.506653,0.015935,10,8,1.4743,1.3470,1.3152,17.88
149,-415.5524,501.0,-0.004189,442.801636,0.016158,12,8,1.6156,1.5581,1.3507,18.34
150,-447.4702,501.0,-0.003967,617.858398,0.016252,8,8,1.4678,1.4420,1.2559,18.48
