epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-562.7902,250.0,-0.021909,23915.605469,0.015113,24,8,2.4448,3.6363,nan,10.22
2,-470.7553,250.0,-0.008969,13697.798828,0.015356,7,8,2.4613,2.4022,nan,5.55
3,-495.4559,250.0,-0.005660,18733.332031,0.015427,6,8,2.1970,3.4013,nan,5.60
4,-444.2980,250.0,-0.008171,11580.077148,0.016173,8,8,2.0141,2.8356,nan,5.65
5,-483.6127,250.0,-0.010844,14264.902344,0.016047,15,8,1.9414,2.6232,nan,5.80
6,-453.3890,250.0,-0.010053,11641.521484,0.015474,12,8,2.1069,2.6467,nan,5.49
7,-359.2389,250.0,-0.007585,5582.275879,0.015404,9,8,1.9185,1.9430,nan,5.61
8,-394.4923,250.0,-0.012732,7444.449219,0.015431,18,8,1.9226,2.0328,nan,5.86
9,-411.5893,250.0,-0.021277,8841.008789,0.015047,38,8,1.8348,2.5801,nan,5.90
10,-445.2861,250.0,-0.007346,12592.174805,0.015148,9,8,2.8532,2.4798,nan,5.76
11,-413.6082,250.0,-0.030193,10636.833008,0.006246,80,8,1.6847,2.5119,nan,5.63
12,-333.0006,250.0,-0.016351,3862.176025,0.015348,16,8,1.7123,1.7974,nan,5.59
13,-377.7529,250.0,-0.013045,8469.547852,0.015061,20,8,2.4319,2.1286,nan,5.50
14,-418.5797,250.0,-0.009964,11122.204102,0.015523,9,8,3.6159,1.8230,nan,5.46
15,-303.3217,250.0,-0.014251,2833.684814,0.015508,17,8,1.4861,1.7454,nan,5.48
16,-338.8429,250.0,-0.009485,3898.517822,0.015760,10,8,1.5480,1.8748,nan,5.68
17,-291.1611,250.0,-0.012327,2161.489990,0.015775,21,8,1.4553,1.6126,nan,5.57
18,-292.2686,250.0,-0.007401,2406.271484,0.016860,8,8,1.4290,1.7264,nan,5.64
19,-341.1005,250.0,-0.007018,4110.370605,0.015788,9,8,1.6136,1.8962,nan,5.97
20,-289.7402,250.0,-0.017742,2146.577393,0.015079,32,8,1.3978,1.5969,nan,5.56
21,-311.7825,250.0,-0.011609,2941.054688,0.015283,12,8,1.3583,1.8145,nan,5.65
22,-256.7397,250.0,-0.006170,1179.506836,0.016706,7,8,1.3632,1.7749,nan,6.02
23,-322.0141,250.0,-0.012379,2877.087402,0.015550,13,8,1.3579,1.7682,nan,5.77
24,-316.8067,250.0,-0.007329,3160.449219,0.015139,9,8,1.3271,1.7578,nan,5.80
25,-268.3086,250.0,-0.006243,1412.647705,0.015043,7,8,1.2392,1.5646,nan,5.77
26,-252.9807,250.0,-0.006971,1070.189453,0.017016,7,8,1.2620,1.6691,nan,5.72
27,-252.1793,250.0,-0.010905,1361.839233,0.015947,13,8,1.2176,1.7006,nan,5.80
28,-289.3721,250.0,-0.009452,2425.086182,0.015596,8,8,1.1821,1.8997,nan,5.73
29,-275.1267,250.0,-0.005320,1420.343262,0.015890,8,8,1.2345,1.6766,nan,5.90
30,-328.3778,250.0,-0.008597,3099.068359,0.015351,12,8,1.2742,1.8778,nan,5.70
31,-277.8224,250.0,-0.011829,1486.037964,0.015466,15,8,1.2604,1.7206,nan,5.71
32,-327.9906,250.0,-0.013524,8563.343750,0.015190,17,8,3.0243,2.4132,nan,5.56
33,-247.5712,250.0,-0.009252,1052.468994,0.015021,11,8,1.0181,1.6850,nan,5.65
34,-221.3177,250.0,-0.013808,504.755127,0.015152,18,8,1.2145,1.4028,nan,5.66
