epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-2337.6264,468.0,-0.016539,168602.781250,0.015172,21,5,15.1509,6.7389,7.0874,21.61
2,-2378.4936,501.0,-0.008280,147154.828125,0.016034,10,8,6.9255,6.5087,6.4259,18.21
3,-1815.2483,458.2,-0.007284,88727.789062,0.016240,11,9,6.2133,5.7461,4.9808,17.73
4,-1715.1291,468.7,-0.017213,68271.664062,0.015102,61,9,5.9924,5.6077,5.6701,18.66
5,-1715.7713,501.0,-0.012679,71161.023438,0.015104,27,8,6.0456,5.2186,4.9421,18.10
6,-1835.7815,501.0,-0.007631,56894.710938,0.017446,9,8,5.7266,5.4412,5.5690,17.90
7,-1555.9080,501.0,-0.006696,62611.281250,0.015663,10,8,5.8435,4.5854,4.0736,17.96
8,-1423.1454,468.0,-0.007177,29046.820312,0.016165,11,9,5.0497,4.7541,4.5752,17.93
9,-1344.6467,501.0,-0.005712,28081.591797,0.017646,8,8,4.7161,4.4543,3.9106,18.22
10,-1395.2101,501.0,-0.016889,34914.214844,0.015006,67,8,4.9646,4.9308,4.2123,19.01
11,-1305.9023,501.0,-0.006040,25056.632812,0.015711,10,8,4.4111,4.2970,4.4956,19.10
12,-1278.7616,501.0,-0.005499,20779.564453,0.015695,9,8,4.0256,4.3372,5.4630,18.38
13,-1180.4937,501.0,-0.018700,21513.408203,0.012356,80,8,4.8373,4.0752,3.6046,18.37
14,-1145.4974,501.0,-0.005609,13300.968750,0.015229,7,8,3.7168,4.0155,3.8352,18.10
15,-1162.3907,501.0,-0.006321,17826.568359,0.017251,8,8,4.3156,3.7090,4.6407,18.61
16,-1223.9550,501.0,-0.006385,16116.626953,0.016931,8,8,4.2591,3.7321,3.6213,18.71
17,-1423.5862,501.0,-0.015765,62378.667969,0.008963,80,8,5.3457,3.9158,4.2000,19.00
18,-1093.7406,501.0,-0.006674,10820.401367,0.015446,10,8,3.6054,4.0637,2.9858,18.57
19,-1024.2663,501.0,-0.004802,10010.679688,0.015416,9,8,3.8309,4.0531,3.6538,20.14
20,-1054.6371,501.0,-0.006212,9135.026367,0.016427,9,8,4.2624,3.7015,3.0916,18.22
21,-1083.2191,501.0,-0.006962,11317.243164,0.016058,11,8,3.4836,4.2826,3.2694,18.36
22,-997.3548,501.0,-0.006187,7963.996582,0.016057,12,8,3.9374,3.7459,4.0312,19.08
23,-1153.8252,501.0,-0.013538,20842.740234,0.016163,11,8,4.1548,4.9848,3.0883,19.53
24,-994.9153,501.0,-0.006970,6133.024414,0.016925,10,8,3.7490,3.4294,2.8457,18.31
25,-937.9890,501.0,-0.005476,6290.930664,0.016540,9,8,3.6495,3.7835,2.8771,19.04
26,-945.8648,501.0,-0.004605,5897.220215,0.015560,8,8,3.4752,3.1042,4.5874,19.02
27,-1006.6723,501.0,-0.006523,5355.977051,0.015715,13,8,3.7594,3.5669,3.6750,18.44
28,-978.8983,501.0,-0.005162,5447.109863,0.016251,9,8,3.7767,3.4730,2.9326,18.70
29,-1032.8543,501.0,-0.005765,5760.232910,0.015690,7,8,3.9503,3.6976,3.6241,18.30
30,-913.9269,501.0,-0.004089,4064.608887,0.015176,10,8,3.5606,3.2734,3.3735,18.72
31,-1021.7077,501.0,-0.003787,5872.602051,0.015179,9,8,4.1203,3.6928,3.6646,18.12
32,-975.0048,501.0,-0.007585,4294.681152,0.015167,19,8,3.8321,3.8714,3.2615,18.48
33,-1033.6174,501.0,-0.006848,5158.429199,0.016761,9,8,4.4411,3.5825,2.9477,18.00
34,-932.1980,501.0,-0.016757,2803.083496,0.015046,49,8,3.4620,3.8492,4.3679,18.16
35,-950.8570,501.0,-0.007298,3571.741211,0.015819,9,8,3.8611,4.0419,4.0097,17.63
36,-870.7574,501.0,-0.016566,4782.016602,0.015070,36,8,3.9224,3.1899,2.5737,18.22
37,-912.2386,501.0,-0.004510,2499.106689,0.016098,8,8,2.9796,3.0727,3.1038,18.24
38,-970.5431,501.0,-0.005058,6265.575684,0.017718,8,8,3.8563,3.7113,5.1306,18.41
39,-906.7529,501.0,-0.004411,2499.131836,0.015009,9,8,3.3111,3.2488,3.9179,18.78
40,-848.8711,501.0,-0.011538,2441.742676,0.015134,30,8,2.7338,3.3581,2.7868,19.21
41,-807.5745,501.0,-0.004810,1908.397095,0.016280,9,8,3.6477,2.8430,3.1318,18.18
42,-809.9517,501.0,-0.005347,1993.340576,0.015589,9,8,2.7812,3.4483,nan,18.53
43,-1271.1241,501.0,-0.008177,66177.710938,0.016007,9,8,6.0522,3.1569,3.5405,17.81
44,-793.0853,501.0,-0.003671,2331.968262,0.017133,8,7,3.0671,3.2179,4.3621,18.65
45,-815.7181,501.0,-0.004480,2073.547119,0.015081,8,8,3.4918,2.6754,2.1672,18.22
46,-881.1979,501.0,-0.004072,6839.846680,0.015190,8,8,3.5754,3.1540,2.8098,18.12
47,-766.6795,501.0,-0.005218,1765.305786,0.016217,10,8,2.6783,3.2417,2.4865,18.02
48,-705.4609,501.0,-0.005861,1955.099487,0.017039,9,8,2.6456,2.8110,1.9026,18.50
49,-753.9084,501.0,-0.005155,1931.647461,0.016463,10,8,3.0188,2.8426,3.3163,18.11
50,-834.3189,501.0,-0.005140,2009.770508,0.016723,8,8,2.8991,2.9890,2.4887,18.26
51,-800.8513,501.0,-0.005211,2566.027832,0.017183,8,8,2.8275,3.4899,3.6235,18.41
52,-764.0251,501.0,-0.007954,34741.078125,0.015371,8,8,5.1711,2.7275,2.6599,19.34
53,-1926.5515,501.0,-0.005947,245906.406250,0.016324,6,8,9.9937,3.2914,2.7142,18.64
54,-1390.9456,501.0,-0.005723,2407.307861,0.015941,8,8,3.2160,2.9281,3.2832,18.99
55,-833.2618,501.0,-0.005801,3133.153320,0.015158,11,8,3.3229,2.8271,2.8633,18.75
56,-802.2174,501.0,-0.005635,2040.166992,0.015597,8,8,3.1520,2.8398,3.3699,18.01
