epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-2315.7707,442.4,-0.010165,178934.671875,0.016240,9,5,nan,7.5767,nan,21.68
2,-2597.0061,446.9,-0.008327,193680.656250,0.015879,10,10,nan,10.3159,nan,18.69
3,-2257.0619,477.1,-0.008397,115304.179688,0.017035,11,9,nan,8.4256,nan,18.86
4,-2174.2966,501.0,-0.007458,97034.242188,0.016194,12,8,nan,6.3849,nan,19.35
5,-2171.3541,481.2,-0.009375,100514.140625,0.016201,11,8,nan,8.9911,nan,19.32
6,-2074.6889,501.0,-0.006416,83531.265625,0.015725,9,8,nan,6.1496,nan,18.44
7,-2047.4986,488.1,-0.008510,72003.875000,0.015226,15,8,nan,11.5878,nan,18.13
8,-1725.8961,501.0,-0.005806,48145.742188,0.015391,14,8,nan,5.5474,nan,18.44
9,-1719.8488,501.0,-0.006599,50197.273438,0.015037,13,8,nan,5.7102,nan,18.28
10,-1602.0832,501.0,-0.006170,43029.832031,0.015257,12,8,nan,5.3222,nan,18.26
11,-1586.3642,501.0,-0.006136,37799.929688,0.015448,14,8,nan,5.4135,nan,18.41
12,-1627.8722,501.0,-0.007133,44774.625000,0.016721,11,8,nan,5.6102,nan,18.46
13,-1489.4503,501.0,-0.007066,30861.740234,0.015519,13,8,nan,5.0578,nan,18.54
14,-1536.0694,501.0,-0.008923,30215.078125,0.015015,20,8,nan,5.4781,nan,18.51
15,-1535.4690,501.0,-0.006552,33148.671875,0.015102,8,8,nan,5.4976,nan,18.53
16,-1577.3914,501.0,-0.006966,30416.494141,0.015245,15,8,nan,5.1199,nan,18.65
17,-1577.5488,501.0,-0.007723,29309.320312,0.015757,14,8,nan,5.2093,nan,18.34
18,-1436.0933,501.0,-0.007708,23049.652344,0.016211,14,8,nan,4.8890,nan,18.89
19,-1368.5505,501.0,-0.005827,19380.978516,0.016041,12,8,nan,5.1107,nan,19.35
20,-1370.0900,501.0,-0.006537,16353.685547,0.016991,11,8,nan,4.7029,nan,19.22
21,-1313.9014,501.0,-0.005675,16019.843750,0.016136,10,8,nan,4.4915,nan,18.65
22,-1285.9661,501.0,-0.017668,11429.873047,0.011099,80,8,nan,4.3549,nan,18.51
23,-1269.9748,501.0,-0.006372,14057.718750,0.015642,9,8,nan,4.6561,nan,18.09
24,-1216.9611,501.0,-0.004981,10634.792969,0.015266,13,8,nan,4.1847,nan,18.02
25,-1190.9358,501.0,-0.005728,11582.763672,0.017169,9,8,nan,4.3887,nan,18.32
26,-1239.9165,501.0,-0.006912,11331.355469,0.015443,13,8,nan,4.3590,nan,17.80
27,-1289.6679,501.0,-0.018798,11963.790039,0.013032,80,8,nan,4.5755,nan,18.33
28,-1223.9329,501.0,-0.006848,9169.013672,0.016066,9,8,nan,4.6424,nan,18.04
29,-1157.4956,501.0,-0.013757,7540.107910,0.015019,38,8,nan,4.1539,nan,18.38
30,-1085.9289,501.0,-0.006267,6665.543945,0.017940,8,8,nan,3.9721,nan,18.10
31,-1148.6960,501.0,-0.004972,6742.319824,0.017018,8,8,nan,3.9521,nan,18.39
32,-1095.5439,501.0,-0.004186,6125.260742,0.015116,9,8,nan,4.1519,nan,18.10
33,-1151.3682,501.0,-0.005466,6005.326660,0.015393,10,8,nan,4.1299,nan,18.93
34,-1072.7906,501.0,-0.005604,5427.823242,0.015541,8,8,nan,3.8759,nan,19.19
35,-1106.0170,501.0,-0.004746,4914.532227,0.016501,9,8,nan,4.0582,nan,18.34
36,-1147.1140,501.0,-0.009777,10197.031250,0.015025,28,8,nan,4.0799,nan,18.70
37,-1053.9993,501.0,-0.005871,3709.920898,0.017384,10,8,nan,3.7406,nan,17.93
38,-1018.9874,501.0,-0.006218,4411.147461,0.015460,9,8,nan,3.7604,nan,18.54
39,-1037.4501,501.0,-0.004548,3528.675781,0.015056,10,8,nan,3.8337,nan,18.12
40,-1048.0759,501.0,-0.006026,3506.973633,0.015590,11,8,nan,3.8331,nan,17.96
41,-1005.4127,501.0,-0.005467,3533.651611,0.016060,10,8,nan,3.6212,nan,18.23
42,-1019.1779,501.0,-0.004687,2510.735596,0.015716,12,8,nan,3.5750,nan,18.19
43,-1034.6645,501.0,-0.005989,4191.462402,0.016581,12,8,nan,4.1044,nan,18.03
44,-960.6270,501.0,-0.004677,2799.138672,0.016947,8,8,nan,3.6061,nan,18.03
45,-968.0346,501.0,-0.004163,2837.837891,0.017362,8,8,nan,3.4797,nan,17.89
46,-996.3479,501.0,-0.005278,2842.157471,0.016590,9,8,nan,3.8280,nan,18.22
47,-965.5677,501.0,-0.004787,2870.680664,0.016228,9,8,nan,3.7099,nan,18.36
48,-958.6092,501.0,-0.005673,2153.429688,0.016310,10,8,nan,3.4913,nan,19.04
49,-947.8349,501.0,-0.005770,3355.286621,0.015747,12,8,nan,3.6167,nan,19.33
50,-931.8211,501.0,-0.007433,2529.548828,0.016123,12,8,nan,3.3488,nan,18.17
51,-982.2333,501.0,-0.007485,3417.492432,0.016607,10,8,nan,3.5535,nan,18.29
52,-941.1608,501.0,-0.005789,2119.986084,0.017661,9,8,nan,3.3468,nan,18.14
53,-920.7457,501.0,-0.013227,2759.055664,0.015108,36,8,nan,3.1501,nan,18.20
54,-922.7554,501.0,-0.005634,2400.797363,0.016083,9,8,nan,3.2058,nan,17.92
55,-868.6082,501.0,-0.004706,2417.235107,0.016520,9,8,nan,3.0308,nan,18.06
56,-912.7352,501.0,-0.004561,2106.614502,0.015909,11,8,nan,3.1961,nan,18.02
57,-921.3672,501.0,-0.004546,2261.513184,0.015744,9,8,nan,3.5061,nan,18.20
58,-912.3035,501.0,-0.006340,2019.246948,0.015234,11,8,nan,3.1938,nan,18.04
59,-871.8856,501.0,-0.005336,2688.836426,0.016965,9,8,nan,3.0349,nan,17.98
60,-869.9156,501.0,-0.006211,2602.956543,0.018902,7,8,nan,3.1429,nan,18.10
61,-898.1463,501.0,-0.004774,3376.979980,0.016269,9,8,nan,2.9920,nan,18.12
62,-904.1933,501.0,-0.005628,2409.679932,0.015577,8,8,nan,3.3146,nan,18.33
63,-883.3745,501.0,-0.006361,2177.719238,0.015738,13,8,nan,3.2760,nan,18.97
64,-895.5731,501.0,-0.004448,2001.588013,0.016467,10,8,nan,2.9101,nan,18.63
65,-926.0127,501.0,-0.004272,2755.615479,0.015484,7,8,nan,3.5005,nan,18.03
66,-895.6029,501.0,-0.004645,2523.835938,0.015713,10,8,nan,3.1806,nan,17.92
67,-906.0667,501.0,-0.004605,2379.143555,0.015492,9,8,nan,3.3709,nan,18.69
68,-889.1612,501.0,-0.004077,2622.183105,0.017048,10,8,nan,3.2559,nan,18.36
69,-860.2365,501.0,-0.005254,2169.783691,0.016221,10,8,nan,3.1177,nan,18.14
70,-801.7555,501.0,-0.005125,1958.123535,0.016365,12,8,nan,2.8181,nan,17.73
71,-812.8363,501.0,-0.005692,1827.586792,0.016559,9,8,nan,2.8868,nan,17.78
72,-850.8563,501.0,-0.004429,2085.507812,0.016302,10,8,nan,3.1141,nan,18.21
73,-873.1404,501.0,-0.004862,2216.863525,0.015253,11,8,nan,3.0709,nan,18.07
74,-818.0556,501.0,-0.006008,1990.070923,0.016033,9,8,nan,2.9682,nan,17.98
75,-778.9562,501.0,-0.004381,1692.201782,0.015535,11,8,nan,2.7570,nan,17.80
76,-777.8940,501.0,-0.004696,1760.951782,0.016986,10,8,nan,2.7887,nan,18.01
77,-789.0844,501.0,-0.004463,1683.947144,0.015503,8,8,nan,2.7414,nan,18.61
78,-797.5388,501.0,-0.004823,1884.546753,0.016401,9,8,nan,2.9182,nan,18.79
79,-797.0240,501.0,-0.005442,1567.416016,0.015043,11,8,nan,2.6985,nan,18.36
80,-795.3420,501.0,-0.004916,1425.769531,0.015616,9,8,nan,2.6208,nan,18.84
81,-798.3043,501.0,-0.003998,1584.961548,0.016493,11,8,nan,2.8015,nan,17.94
82,-780.8822,501.0,-0.004209,1613.123657,0.015142,9,8,nan,2.5543,nan,18.48
83,-826.2529,501.0,-0.005912,1754.369019,0.015243,9,8,nan,3.0220,nan,18.47
84,-783.1235,501.0,-0.005028,1919.956421,0.016443,10,8,nan,2.5636,nan,18.01
85,-743.7379,501.0,-0.004158,1673.306274,0.015144,10,8,nan,2.7036,nan,17.91
86,-803.0728,501.0,-0.006591,1811.871094,0.017552,10,8,nan,2.8438,nan,18.55
87,-755.0458,501.0,-0.005172,1596.020264,0.016575,10,8,nan,2.6616,nan,18.03
88,-762.3681,501.0,-0.005836,1468.265747,0.016012,12,8,nan,2.7191,nan,18.94
89,-784.3319,501.0,-0.005604,2018.514771,0.016545,11,8,nan,2.9136,nan,18.20
90,-805.6106,501.0,-0.005584,1741.208740,0.015478,12,8,nan,2.8464,nan,18.21
91,-780.5884,501.0,-0.003875,1887.639038,0.015126,6,8,nan,2.6466,nan,18.08
92,-760.0918,501.0,-0.011712,1856.844971,0.015174,32,8,nan,2.6589,nan,18.85
93,-779.9161,501.0,-0.005078,1536.218140,0.016970,9,8,nan,2.8357,nan,18.90
94,-745.5852,501.0,-0.004382,1337.254150,0.017107,10,8,nan,2.5817,nan,17.99
95,-734.3259,501.0,-0.005762,1649.326660,0.015485,9,8,nan,2.6231,nan,17.83
96,-731.8621,501.0,-0.005117,1452.446289,0.017667,8,8,nan,2.6757,nan,18.10
97,-754.8677,501.0,-0.003947,1730.027710,0.016723,7,8,nan,2.5953,nan,17.99
98,-704.8733,501.0,-0.012462,1369.000610,0.015036,43,8,nan,2.4049,nan,18.47
99,-699.9382,501.0,-0.007405,1434.090088,0.015297,15,8,nan,2.4062,nan,18.26
100,-691.6286,501.0,-0.005125,1406.122559,0.015295,14,8,nan,2.2928,nan,18.30
101,-718.8059,501.0,-0.005296,1580.694702,0.015467,9,8,nan,2.6800,nan,17.98
102,-764.3095,501.0,-0.003757,1811.353027,0.015458,8,8,nan,2.6357,nan,17.88
103,-714.2127,501.0,-0.004372,1395.085205,0.015246,11,8,nan,2.6137,nan,18.20
104,-701.7870,501.0,-0.006103,1491.539429,0.015741,9,8,nan,2.7599,nan,18.14
105,-719.9032,501.0,-0.004014,1391.506714,0.016515,8,8,nan,2.5695,nan,18.12
106,-717.2301,501.0,-0.008652,1629.826050,0.015339,18,8,nan,2.5582,nan,18.68
107,-728.1112,501.0,-0.006222,1312.136475,0.015791,12,8,nan,2.4819,nan,18.71
108,-707.2530,501.0,-0.004353,1555.399414,0.016415,9,8,nan,2.3982,nan,19.05
109,-693.2927,501.0,-0.003781,1413.641602,0.015391,8,8,nan,2.4772,nan,18.05
110,-675.6533,501.0,-0.006339,1518.818237,0.015011,15,8,nan,2.3318,nan,17.77
111,-713.3852,501.0,-0.003933,1071.151611,0.015245,10,8,nan,2.4860,nan,17.95
112,-662.5644,501.0,-0.003875,1234.413818,0.015496,10,8,nan,2.3176,nan,18.24
113,-655.5474,501.0,-0.012171,1211.060791,0.015061,35,8,nan,2.3297,nan,17.95
114,-682.2513,501.0,-0.003631,1211.062866,0.015066,9,8,nan,2.5561,nan,17.94
115,-660.2103,501.0,-0.005830,1101.563354,0.015692,12,8,nan,2.3944,nan,17.94
116,-670.1163,501.0,-0.005604,1201.677246,0.015411,10,8,nan,2.2593,nan,19.76
117,-671.6586,501.0,-0.005195,1166.896362,0.015104,10,8,nan,2.2784,nan,18.78
118,-637.2141,501.0,-0.003332,1048.337036,0.015865,8,8,nan,2.1200,nan,17.89
119,-641.2186,501.0,-0.003972,1200.549561,0.017068,9,8,nan,2.2679,nan,18.03
120,-628.3709,501.0,-0.003232,1090.619019,0.016594,9,8,nan,2.1903,nan,17.95
121,-627.0463,501.0,-0.004413,1076.696045,0.015334,8,8,nan,2.1812,nan,18.56
122,-636.2306,501.0,-0.002255,1188.438477,0.016324,8,8,nan,2.3827,nan,18.60
123,-655.0168,501.0,-0.005082,1101.851440,0.015388,9,8,nan,2.3252,nan,19.19
124,-628.0840,501.0,-0.004120,973.764160,0.015154,9,8,nan,2.2355,nan,18.03
