epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
67,-179.1061,250.0,-0.005671,168.568436,0.015885,6,8,1.2333,nan,nan,5.61
68,-194.9953,250.0,-0.006842,179.979279,0.017013,8,8,1.4046,nan,nan,5.55
69,-174.2303,250.0,-0.007986,178.876495,0.015038,8,8,1.3109,nan,nan,5.62
70,-189.5233,250.0,-0.009201,167.263504,0.015015,9,8,1.3797,nan,nan,6.00
71,-182.2926,250.0,-0.005695,170.782150,0.018968,4,8,1.3768,nan,nan,5.43
72,-210.4634,250.0,-0.031142,177.014984,0.012942,80,8,1.6164,nan,nan,5.73
73,-181.6004,250.0,-0.006797,153.000168,0.015686,6,8,1.3347,nan,nan,5.43
74,-156.9435,250.0,-0.006917,126.867981,0.015721,8,8,1.1031,nan,nan,5.52
75,-190.9815,250.0,-0.006286,165.040405,0.015178,8,8,1.4767,nan,nan,5.78
76,-222.9701,250.0,-0.006358,271.661804,0.015850,7,8,1.8301,nan,nan,5.64
77,-199.2556,250.0,-0.005044,217.594345,0.016125,6,8,1.5775,nan,nan,5.72
78,-203.7761,250.0,-0.007032,207.394669,0.015506,7,8,1.5897,nan,nan,5.89
79,-187.4527,250.0,-0.003759,166.458878,0.015863,4,8,1.4090,nan,nan,5.69
80,-176.0484,250.0,-0.010455,146.236572,0.015133,14,8,1.2740,nan,nan,5.58
81,-168.5986,250.0,-0.007711,108.667038,0.015185,9,8,1.1438,nan,nan,5.41
82,-194.2359,250.0,-0.007670,208.479279,0.015072,6,8,1.5209,nan,nan,5.55
83,-167.7457,250.0,-0.004194,133.360489,0.016678,6,8,1.2581,nan,nan,5.54
84,-257.2316,250.0,-0.009604,3178.479492,0.018034,7,8,2.3954,nan,nan,5.51
85,-185.4417,250.0,-0.006101,186.626038,0.015267,6,8,1.4317,nan,nan,5.52
86,-176.3959,250.0,-0.005762,146.415253,0.016199,6,8,1.3564,nan,nan,5.64
87,-183.5388,250.0,-0.006122,164.066864,0.016213,7,8,1.4681,nan,nan,5.44
88,-165.2793,250.0,-0.007595,122.397316,0.015214,11,8,1.1647,nan,nan,5.59
89,-186.9598,250.0,-0.030298,152.782257,0.011271,80,8,1.5052,nan,nan,6.09
90,-167.6726,250.0,-0.007517,124.621864,0.015879,6,8,1.2340,nan,nan,5.66
91,-163.5823,250.0,-0.027128,104.279762,0.014212,80,8,1.2112,nan,nan,5.97
92,-182.1629,250.0,-0.006428,146.863586,0.015374,7,8,1.4821,nan,nan,5.44
93,-208.5920,250.0,-0.004186,156.533173,0.016979,6,8,1.6294,nan,nan,5.65
94,-158.2147,250.0,-0.026944,98.273964,0.015007,68,8,1.2006,nan,nan,5.95
95,-203.9012,250.0,-0.025589,876.296265,0.015003,62,8,1.7260,nan,nan,6.24
96,-159.1656,250.0,-0.015720,101.769783,0.015203,22,8,1.2497,nan,nan,5.65
97,-167.7721,250.0,-0.016820,136.809235,0.015283,19,8,1.2802,nan,nan,5.92
98,-191.1135,250.0,-0.023367,135.894409,0.015032,54,8,1.6675,nan,nan,5.61
99,-156.6604,250.0,-0.028446,115.690079,0.011868,80,8,1.2342,nan,nan,5.61
100,-168.3904,250.0,-0.007761,121.339561,0.015369,7,8,1.3066,nan,nan,5.69
101,-183.3323,250.0,-0.004924,154.258209,0.015937,4,8,1.4502,nan,nan,5.41
102,-455.2877,250.0,-0.032352,59682.683594,0.003942,80,8,4.3885,nan,nan,5.76
103,-197.9318,250.0,-0.007772,217.438049,0.019782,5,8,1.5287,nan,nan,5.79
104,-149.9843,250.0,-0.010630,130.823914,0.015030,14,8,1.3084,nan,nan,5.63
105,-163.1766,250.0,-0.003333,142.370270,0.016990,5,8,1.3006,nan,nan,5.64
106,-185.4531,250.0,-0.008008,159.797745,0.017045,6,8,1.4902,nan,nan,6.05
107,-257.4919,250.0,-0.004839,4847.443359,0.015627,4,8,2.4348,nan,nan,5.94
108,-163.8866,250.0,-0.003623,147.505798,0.018721,4,8,1.3039,nan,nan,5.81
109,-178.2165,250.0,-0.006477,167.708740,0.015906,10,8,1.4335,nan,nan,5.95
110,-160.7460,250.0,-0.003051,132.318970,0.016415,4,8,1.2866,nan,nan,5.79
