epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-2167.0716,501.0,-0.009015,162727.375000,0.015607,6,4,6.5719,6.2291,nan,23.90
2,-2299.9902,473.4,-0.007280,142539.250000,0.015567,10,9,7.0225,6.9017,6.4077,19.27
3,-2025.5177,484.0,-0.007612,121937.359375,0.015890,12,9,7.0887,6.2132,7.8742,20.90
4,-2075.8252,501.0,-0.006759,59725.183594,0.015678,12,8,5.7550,4.7727,4.1892,19.13
5,-1826.0165,460.6,-0.011396,105900.750000,0.015256,31,8,8.2845,5.3521,4.9865,18.59
6,-1811.0502,501.0,-0.006678,68983.765625,0.017240,9,8,6.0527,5.5768,5.7102,18.10
7,-1613.8465,501.0,-0.006387,59568.781250,0.016296,10,8,5.4989,5.3964,4.3043,17.94
8,-1620.2151,501.0,-0.006923,46421.218750,0.015489,12,8,5.2004,4.8253,5.4197,18.14
9,-1547.0264,501.0,-0.016899,36104.148438,0.013086,80,8,4.8018,4.6009,5.3984,18.97
10,-1343.8996,501.0,-0.006686,49023.187500,0.015343,9,8,4.3571,5.7746,4.2998,18.15
11,-1585.6275,501.0,-0.005452,31941.380859,0.015948,10,8,4.6460,4.7960,4.2531,18.27
12,-1361.0859,501.0,-0.005573,28363.876953,0.016515,9,8,4.7886,4.4969,5.1279,18.28
13,-1568.8664,501.0,-0.006254,80572.890625,0.015377,11,8,5.0756,5.3687,8.3331,17.87
14,-1360.6189,501.0,-0.016721,32092.355469,0.014814,80,8,4.7132,5.5345,3.5824,19.10
15,-1375.9981,501.0,-0.006355,20394.738281,0.015428,8,8,4.4929,4.6323,4.7160,18.35
16,-1344.0173,501.0,-0.006309,21029.068359,0.016193,9,8,4.7742,3.8944,3.9253,19.63
17,-1604.0129,501.0,-0.004730,62702.074219,0.015392,8,8,6.6047,4.4998,4.4308,19.69
18,-1228.1092,501.0,-0.005326,14921.957031,0.016829,8,8,4.1391,4.4270,4.0059,19.11
19,-1297.3228,501.0,-0.014382,34501.097656,0.012898,80,8,5.1404,4.2180,4.2473,19.47
20,-1205.5032,501.0,-0.005534,10763.358398,0.015012,10,8,3.7761,4.5851,4.1234,17.92
21,-1067.4649,501.0,-0.005821,8570.820312,0.015721,9,8,3.9616,3.4986,3.6832,17.71
22,-1036.5898,501.0,-0.005970,8672.197266,0.016999,10,8,3.8110,3.7410,3.6641,18.46
23,-1081.0605,501.0,-0.005254,12102.821289,0.015558,10,8,4.2049,4.1053,3.2962,18.12
24,-1108.1909,501.0,-0.005521,6209.291992,0.015094,9,8,3.7544,3.4940,3.3746,17.64
25,-946.3914,501.0,-0.015481,6746.771484,0.015007,65,8,3.8963,3.4991,3.1402,18.31
26,-1018.7061,501.0,-0.007298,5100.433594,0.015900,11,8,3.6823,3.2100,2.5849,17.83
27,-990.7964,501.0,-0.009648,7661.757812,0.015090,21,8,4.0044,3.5365,4.0789,18.28
28,-985.4112,501.0,-0.006075,4669.558594,0.015050,10,8,3.3014,3.9780,4.3392,18.59
29,-1017.0746,501.0,-0.005196,5794.732910,0.015552,9,8,3.6583,3.5875,3.4590,18.07
30,-1569.0113,501.0,-0.008002,122239.062500,0.015280,12,8,3.5174,7.6942,3.1040,17.84
31,-988.5195,501.0,-0.005671,4986.214355,0.015135,11,8,3.6090,3.8751,4.0235,18.55
32,-974.3423,501.0,-0.006014,4891.267090,0.015677,10,8,3.6304,3.7107,3.5113,19.20
33,-960.3829,501.0,-0.005809,2546.271240,0.015791,9,8,3.3969,3.3883,3.1228,18.36
34,-911.4459,501.0,-0.005534,4133.291504,0.016170,10,8,3.7217,3.3033,2.7129,18.04
35,-998.1205,501.0,-0.005165,4814.418945,0.016203,7,8,3.5535,4.4815,3.7923,18.36
36,-1005.0673,501.0,-0.007760,46938.738281,0.016526,8,8,3.9576,5.1267,3.6143,17.60
37,-1291.5305,501.0,-0.004359,5348.264160,0.016684,7,8,3.4559,4.0933,3.4194,17.82
38,-972.6934,501.0,-0.008187,3741.781494,0.015013,15,8,3.6861,3.6038,3.6942,18.25
39,-1034.7414,501.0,-0.007773,9761.651367,0.015320,15,8,3.8762,2.9334,3.1144,17.90
40,-824.5772,501.0,-0.005928,2863.507812,0.015606,13,8,2.9159,2.9009,3.1548,17.75
41,-863.2107,501.0,-0.006219,2638.493652,0.016505,11,8,3.2261,3.2536,2.5983,17.88
42,-1398.9822,501.0,-0.023041,103782.156250,0.014523,80,8,3.5044,5.8054,2.4933,18.58
43,-819.4353,501.0,-0.005539,2887.606689,0.017355,10,8,3.6230,2.8170,2.8428,17.74
44,-902.8548,501.0,-0.004227,3530.258545,0.017359,7,8,3.3266,3.5155,2.9693,17.59
45,-923.4845,501.0,-0.004294,2496.085449,0.016830,11,8,3.2335,3.3645,3.1207,18.43
46,-909.7585,501.0,-0.006065,5955.675781,0.016719,8,8,2.9190,4.2740,2.7752,19.77
47,-1403.4096,501.0,-0.007001,102533.804688,0.016912,8,8,3.2616,6.9902,nan,18.43
48,-854.1073,501.0,-0.007733,4030.312500,0.015435,16,8,3.5398,3.1307,1.9822,18.62
49,-775.1077,501.0,-0.005256,2503.802490,0.015683,9,8,3.2276,3.1897,3.4492,18.35
50,-882.1458,501.0,-0.005765,3401.008057,0.016105,7,8,3.3393,3.4942,3.2262,17.84
