epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-842.3026,250.0,-0.011651,54224.894531,0.015284,7,8,4.5619,4.1147,1.8806,9.64
2,-1136.0247,250.0,-0.008344,100553.531250,0.015823,9,8,6.6679,5.6487,1.6903,5.64
3,-744.6684,250.0,-0.008267,41026.324219,0.016519,10,8,4.0608,4.0043,1.6936,5.51
4,-816.8328,199.6,-0.007624,63317.898438,0.015317,7,9,8.0428,3.4521,1.7756,5.47
5,-1083.0731,212.2,-0.007661,133696.203125,0.015586,8,9,18.2831,4.5195,1.8690,5.71
6,-1172.7241,228.2,-0.009051,227479.656250,0.017944,7,8,13.0532,4.5880,1.7948,5.61
7,-1219.5933,250.0,-0.008265,43334.007812,0.015799,13,8,5.2589,3.9030,1.9385,5.87
8,-1355.2492,250.0,-0.011168,219419.421875,0.017916,9,8,8.0973,6.9990,1.9905,5.49
9,-1252.2349,250.0,-0.007618,93978.078125,0.016119,10,8,7.9631,4.3747,1.9056,6.04
10,-717.5997,250.0,-0.019588,38839.343750,0.014626,80,8,3.8334,4.6228,1.7093,6.11
11,-586.0910,250.0,-0.007944,38728.441406,0.017263,11,8,4.1659,5.1313,1.8988,5.76
12,-776.6854,250.0,-0.007359,24633.566406,0.015761,10,8,3.8364,4.0761,1.7502,5.92
13,-956.1016,237.6,-0.012812,91477.109375,0.017138,7,8,31.7595,5.1656,1.6898,5.75
14,-886.5841,250.0,-0.006237,86727.664062,0.015195,11,8,6.6295,4.2371,1.5977,5.93
15,-1244.0772,228.6,-0.014039,81949.554688,0.017558,9,8,54.9287,4.5456,1.7075,5.81
16,-763.9129,250.0,-0.017999,69569.273438,0.014023,80,8,3.7001,4.9599,6.4469,6.54
17,-1026.5675,223.9,-0.010324,175824.375000,0.015096,9,9,9.6840,4.9347,1.7387,5.80
18,-941.6653,250.0,-0.006836,25039.347656,0.016928,9,8,4.6887,4.2034,1.9232,5.58
19,-699.5295,250.0,-0.006152,13471.574219,0.015059,8,8,3.9363,3.0953,1.6393,5.75
20,-806.8539,250.0,-0.007477,35234.050781,0.016189,7,8,4.4315,4.2301,2.0574,5.47
21,-801.2603,250.0,-0.017503,36510.960938,0.013832,80,8,3.1635,3.9649,5.3536,5.81
22,-619.2284,250.0,-0.017907,34719.820312,0.015002,27,8,4.3083,5.2387,1.7742,5.43
23,-1039.0815,250.0,-0.008723,18514.205078,0.015624,11,8,3.8345,4.5380,2.0008,5.63
24,-639.7084,231.8,-0.008448,29976.718750,0.015920,7,9,13.6815,4.7318,1.8942,5.54
25,-913.3414,229.3,-0.008396,49591.535156,0.015968,7,9,12.2324,5.3325,1.8135,5.87
26,-1552.6521,250.0,-0.006501,166938.968750,0.016416,8,8,7.9378,9.7289,1.3857,5.67
27,-840.8563,221.2,-0.008748,28163.263672,0.016974,7,8,6.6371,3.1138,1.7923,5.59
28,-546.1479,250.0,-0.006647,77997.781250,0.015434,6,8,4.6137,6.5261,1.7573,5.96
29,-1172.4366,250.0,-0.004533,19288.580078,0.015805,8,8,4.8675,3.6920,1.5177,5.59
30,-578.0310,231.0,-0.007851,21723.253906,0.015904,8,8,8.5129,3.0095,1.7765,5.51
31,-869.4368,250.0,-0.007240,16816.531250,0.015892,8,8,4.4156,2.2332,1.5377,5.57
32,-519.5090,250.0,-0.008750,19355.164062,0.017402,10,8,4.5526,3.9371,1.8089,5.50
33,-923.4357,247.1,-0.006967,25136.429688,0.015864,9,8,9.8388,5.0342,1.4215,5.48
34,-885.3700,250.0,-0.008705,23197.908203,0.015021,12,8,4.4555,3.3735,1.7163,5.54
35,-530.4611,250.0,-0.007728,14651.455078,0.015600,13,8,2.9453,4.4921,4.0953,5.69
36,-552.5429,250.0,-0.005153,5390.300293,0.017722,8,8,2.8891,3.8170,2.0712,5.74
37,-643.7979,250.0,-0.007364,23899.509766,0.017278,9,8,4.8179,2.9746,1.4897,5.90
38,-872.5052,250.0,-0.006967,17970.646484,0.015167,8,8,3.6888,4.0558,3.6719,5.54
39,-530.2086,250.0,-0.005277,7346.662598,0.015573,9,8,3.6727,3.1649,1.9989,5.54
40,-681.9791,250.0,-0.008651,11744.128906,0.017941,8,8,3.9561,3.0022,1.7669,5.65
41,-491.9034,250.0,-0.006878,28892.824219,0.017559,7,8,3.6327,5.8874,1.8921,5.64
42,-949.5008,250.0,-0.004802,77472.945312,0.015723,7,8,4.3705,7.8281,2.1070,5.64
43,-1154.8394,224.6,-0.006419,35847.539062,0.015164,9,9,9.0114,6.0477,1.9277,5.62
44,-671.5531,250.0,-0.008576,26252.107422,0.015339,14,8,4.0504,4.8351,1.8059,5.74
45,-583.1574,189.8,-0.008965,16973.099609,0.016657,10,11,8.8770,3.8980,1.8246,6.07
46,-821.4888,197.7,-0.008680,49639.667969,0.016496,9,9,7.3976,7.3570,1.9322,6.09
47,-891.9669,225.8,-0.024808,64699.671875,0.011606,80,9,5.4198,7.4533,6.6538,6.23
48,-678.1668,250.0,-0.007809,15500.621094,0.015192,9,8,3.4356,4.0524,5.1339,5.67
49,-657.7089,223.9,-0.006655,57166.816406,0.016915,7,9,6.7823,5.9862,1.4471,5.95
50,-1034.5010,223.0,-0.007639,27044.880859,0.017796,7,9,11.0045,5.3313,1.6965,5.72
51,-861.7331,250.0,-0.006673,20007.480469,0.015973,8,8,4.5617,4.2625,1.6219,5.95
52,-857.5376,250.0,-0.009907,36574.132812,0.017162,9,8,4.8915,5.5978,1.9057,5.72
53,-1178.0820,241.4,-0.006349,82352.609375,0.016638,6,9,9.7966,6.7307,1.8678,5.79
54,-1048.3162,250.0,-0.012767,48698.289062,0.015751,27,8,3.9756,6.1027,9.5491,5.62
55,-784.9297,250.0,-0.008867,8447.166016,0.016918,11,8,3.0172,4.3471,1.8838,5.69
56,-590.2605,250.0,-0.006919,7635.773926,0.015507,12,8,3.3481,3.9356,1.8032,5.66
57,-560.5953,250.0,-0.018811,15754.182617,0.006401,80,8,3.2941,4.8787,2.1839,5.96
58,-776.2552,209.2,-0.008514,48196.902344,0.015617,10,10,13.9017,5.4012,6.2182,5.90
59,-1258.0092,230.8,-0.008332,97308.710938,0.019573,6,9,8.8815,4.5722,9.0940,5.47
60,-961.0596,229.1,-0.009275,59524.394531,0.016062,6,9,11.3393,4.4997,1.9858,5.76
61,-861.2886,248.8,-0.007656,16819.076172,0.017067,7,8,6.0411,4.0003,2.0645,5.78
62,-806.0621,250.0,-0.006572,19822.832031,0.017660,9,8,4.8004,3.8273,nan,5.62
63,-839.4740,250.0,-0.007164,21184.816406,0.016328,8,8,5.1962,3.4129,3.6794,5.62
64,-850.5132,250.0,-0.009718,31199.607422,0.015696,9,8,6.4633,4.0057,2.0067,5.49
65,-982.8102,228.7,-0.009824,25991.765625,0.018383,7,9,9.8699,7.8525,nan,5.57
66,-1298.9724,250.0,-0.010258,74578.140625,0.016225,9,8,7.4587,7.3767,1.6697,5.52
67,-1063.1416,250.0,-0.005838,95222.656250,0.015648,9,8,6.2134,6.5550,1.7340,5.61
68,-683.3298,233.1,-0.011685,28785.691406,0.017240,8,9,17.6376,2.7571,1.7850,5.63
69,-1012.6651,250.0,-0.005445,77271.054688,0.015335,7,8,3.5690,7.2798,1.7649,5.92
70,-862.0793,250.0,-0.023651,21363.814453,0.010875,80,8,4.0402,4.9593,1.8504,5.88
71,-660.3153,250.0,-0.006451,17245.703125,0.015395,7,8,5.6572,2.5980,1.7288,5.80
72,-738.6697,224.4,-0.003971,18650.583984,0.017098,7,9,6.4950,3.5411,1.9232,5.65
73,-1184.9630,250.0,-0.006212,48919.199219,0.016021,7,8,7.3404,4.0608,4.1002,5.96
74,-719.7436,250.0,-0.005498,14391.226562,0.016511,7,8,4.5761,3.5668,2.0994,5.82
75,-487.0471,250.0,-0.004601,3530.462891,0.015019,8,8,3.0694,2.1912,1.8011,5.73
76,-601.5559,250.0,-0.007164,8964.000000,0.015186,10,8,4.4701,3.9631,2.1282,5.71
77,-776.1860,250.0,-0.006054,13497.579102,0.018154,7,8,4.3478,4.5612,1.8668,5.73
78,-579.2985,250.0,-0.008564,4847.469238,0.015015,15,8,2.8776,3.4459,1.6574,5.77
79,-543.6515,250.0,-0.006427,15004.766602,0.015901,8,8,4.7584,2.4576,1.7819,5.91
80,-706.4671,250.0,-0.006315,10092.792969,0.016181,8,8,5.6542,2.3935,1.7427,5.61
81,-842.4549,250.0,-0.005752,16841.775391,0.016034,8,8,3.6604,5.0842,3.7578,5.72
82,-542.2654,250.0,-0.008726,8230.050781,0.015994,10,8,3.8056,3.8912,1.8325,5.70
83,-978.7730,227.2,-0.005528,40890.316406,0.019056,7,9,7.4849,4.9473,7.8170,5.44
84,-496.9327,202.9,-0.009386,4042.429688,0.016745,11,10,5.9729,3.6325,2.4569,5.50
85,-933.9917,250.0,-0.005878,62927.851562,0.015783,8,8,4.6118,6.5051,1.7233,5.45
86,-1046.9676,250.0,-0.008780,59973.925781,0.017892,7,8,5.2402,6.4373,1.9816,5.37
87,-593.2853,224.4,-0.008781,11816.781250,0.015328,7,9,6.4775,4.6874,1.8526,5.47
88,-1559.6026,250.0,-0.009520,137628.921875,0.019190,5,8,7.5181,3.2873,nan,5.48
89,-657.9292,250.0,-0.015059,12917.107422,0.015183,32,8,4.1557,3.9217,1.8145,5.89
90,-1209.4674,250.0,-0.009943,91042.375000,0.016173,8,8,7.5954,7.1393,nan,5.43
91,-1233.1086,243.0,-0.009505,69283.039062,0.019085,6,8,9.1232,3.9153,5.3898,5.53
92,-777.3740,250.0,-0.021744,21536.769531,0.015028,65,8,4.2998,3.9270,3.9621,5.55
