epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-926.5105,250.0,-0.019817,56185.785156,0.015104,17,8,5.0424,4.5217,nan,10.12
2,-1411.2980,250.0,-0.015989,209717.984375,0.015332,22,8,5.2767,11.1530,nan,5.66
3,-952.8959,250.0,-0.006675,59733.015625,0.016365,7,8,5.1156,4.6256,nan,5.46
4,-891.1318,250.0,-0.007108,52526.347656,0.015075,8,8,4.1078,4.6326,nan,5.38
5,-1118.6843,250.0,-0.026456,127002.179688,0.015044,72,8,3.8894,9.6028,nan,5.59
6,-1202.9917,250.0,-0.010328,161856.468750,0.016114,8,8,4.8191,10.1905,nan,5.87
7,-1362.5643,250.0,-0.026164,149766.609375,0.015167,64,8,5.8644,7.4965,nan,5.74
8,-1356.7273,250.0,-0.008768,187611.531250,0.015483,10,8,4.9448,8.0190,nan,5.55
9,-954.7414,250.0,-0.014171,58544.902344,0.015465,15,8,3.9130,5.1740,nan,5.36
10,-634.8347,250.0,-0.008647,19311.800781,0.016958,9,8,3.7288,3.2903,nan,5.46
11,-948.5438,250.0,-0.007549,61915.601562,0.016890,6,8,4.4754,5.5209,nan,5.39
12,-1180.6001,250.0,-0.006498,109575.960938,0.017826,7,8,4.1046,6.0395,nan,5.66
13,-804.9767,250.0,-0.005115,38689.679688,0.015185,6,8,3.1919,4.9848,nan,5.60
14,-1096.6314,250.0,-0.005779,84166.937500,0.016454,7,8,5.1626,5.9460,nan,5.57
15,-791.8736,250.0,-0.009010,35349.714844,0.016589,11,8,3.9067,4.6481,nan,5.60
16,-929.5399,250.0,-0.012574,94238.039062,0.015392,20,8,3.7536,8.6294,nan,5.62
17,-1182.1026,250.0,-0.028611,148021.593750,0.012443,80,8,2.3667,6.6529,nan,5.87
18,-1331.7598,250.0,-0.026034,238465.875000,0.007211,80,8,2.9884,10.3951,nan,5.89
19,-743.2409,250.0,-0.008922,28581.835938,0.016168,10,8,3.1271,4.0101,nan,5.47
20,-1298.2792,250.0,-0.009037,130913.359375,0.015249,10,8,5.1463,7.7201,nan,5.42
21,-1053.4939,250.0,-0.008968,101013.945312,0.015785,10,8,3.0982,6.4659,nan,5.45
22,-1447.6587,250.0,-0.026291,234188.375000,0.011269,80,8,4.6802,9.1736,nan,5.77
23,-976.2936,250.0,-0.007872,77149.851562,0.015452,8,8,5.2716,nan,nan,5.35
24,-712.7317,250.0,-0.006952,24044.562500,0.015619,7,8,3.0055,4.5965,nan,5.74
25,-1175.2637,250.0,-0.006279,134175.906250,0.017731,7,8,3.6419,8.2388,nan,5.55
26,-907.4183,250.0,-0.009127,123008.070312,0.016296,7,8,2.7840,10.6500,nan,5.46
27,-837.2371,250.0,-0.008186,47787.660156,0.015147,8,8,4.8686,3.4789,nan,5.48
28,-1275.6877,250.0,-0.008093,186176.437500,0.018652,7,8,2.1527,7.3486,nan,5.47
29,-610.7171,250.0,-0.004972,14046.055664,0.017476,6,8,2.7330,3.9087,nan,5.74
30,-798.8177,250.0,-0.009433,31631.494141,0.016356,12,8,2.7193,4.7952,nan,5.59
31,-675.6069,250.0,-0.017176,17541.019531,0.015164,19,8,3.5898,4.1991,nan,5.53
32,-794.4396,250.0,-0.006505,47278.882812,0.015974,6,8,4.7883,4.3532,nan,5.90
33,-548.9752,250.0,-0.007831,9376.253906,0.016312,8,8,2.9961,3.3740,nan,5.45
34,-729.2984,250.0,-0.008942,30800.142578,0.015633,8,8,4.2203,3.5068,nan,5.62
35,-611.6484,250.0,-0.007684,12517.778320,0.016394,7,8,3.3352,3.2861,nan,5.64
36,-805.5718,250.0,-0.005074,29719.099609,0.015361,5,8,2.4672,4.2435,nan,5.43
37,-709.8682,250.0,-0.007089,36494.023438,0.016516,8,8,2.7982,4.4447,nan,5.42
38,-834.2274,250.0,-0.006299,62454.398438,0.015205,7,8,3.4957,6.0112,nan,5.42
39,-1011.7318,250.0,-0.030043,101255.226562,0.012372,80,8,3.1594,6.5434,nan,5.61
40,-683.7946,250.0,-0.009818,23306.914062,0.015873,10,8,4.4611,2.9185,nan,5.53
41,-925.8786,250.0,-0.026043,71590.000000,0.012949,80,8,3.6511,5.6075,nan,5.73
42,-860.8024,250.0,-0.013332,63014.847656,0.015254,14,8,4.1111,5.8460,nan,5.51
43,-613.7511,250.0,-0.009771,16062.631836,0.015633,7,8,2.6163,4.4050,nan,5.53
44,-740.5862,250.0,-0.008327,19230.929688,0.016977,8,8,5.0127,3.4914,nan,5.59
45,-1035.4615,250.0,-0.008237,124058.132812,0.015291,12,8,2.4094,7.3615,nan,5.95
46,-679.3437,250.0,-0.008234,24170.398438,0.016025,7,8,3.9047,nan,nan,5.69
47,-1012.5857,250.0,-0.007362,84233.046875,0.018154,7,8,3.4597,6.1927,nan,5.80
48,-1132.2817,250.0,-0.008802,115434.445312,0.015920,10,8,2.3785,6.5546,nan,5.86
49,-868.4189,250.0,-0.026803,64249.539062,0.012604,80,8,2.6531,6.4072,nan,5.89
50,-494.7677,250.0,-0.010082,9263.683594,0.016162,8,8,2.3267,4.4546,nan,5.65
51,-521.8293,250.0,-0.010688,6029.719238,0.016127,10,8,2.5895,3.3729,nan,5.56
52,-787.9624,250.0,-0.007603,36131.601562,0.015045,8,8,4.0363,5.3720,nan,5.65
53,-642.3209,250.0,-0.014535,21235.685547,0.015133,16,8,3.5406,4.9885,nan,5.75
54,-836.7350,250.0,-0.007666,53398.062500,0.018061,7,8,5.1711,3.5957,nan,5.42
55,-1471.9722,250.0,-0.004192,233239.234375,0.015824,5,8,4.5807,13.8626,nan,5.52
56,-642.3393,250.0,-0.007882,14296.725586,0.015578,7,8,1.7517,3.9555,nan,6.14
57,-631.3703,250.0,-0.008936,21276.943359,0.018146,7,8,3.7039,2.6159,nan,5.95
58,-733.6852,250.0,-0.011428,28755.759766,0.016195,14,8,2.1329,4.4362,nan,5.60
59,-951.0485,250.0,-0.006459,72190.406250,0.015587,7,8,3.4078,5.8426,nan,5.40
60,-972.2987,250.0,-0.008030,38569.113281,0.018435,7,8,6.6476,4.4431,nan,5.62
61,-792.1461,250.0,-0.033121,100481.460938,0.014390,80,8,2.0988,8.3095,nan,5.92
62,-1145.8425,250.0,-0.008843,89474.968750,0.017392,8,8,4.5431,6.4905,nan,5.45
63,-653.1105,250.0,-0.008009,14913.405273,0.015162,8,8,3.5287,3.3722,nan,5.71
64,-796.2436,250.0,-0.009843,26963.570312,0.015077,8,8,3.7235,4.4213,nan,5.95
65,-791.4920,250.0,-0.008608,26441.332031,0.015431,9,8,4.9444,3.5581,nan,5.59
66,-1256.4924,250.0,-0.007595,119751.593750,0.015418,8,8,6.8914,6.1638,nan,5.48
