Timestamp,Fx,Fy,Fz,Mx,My,Mz
1777556608478047,1.8964900970458984,-0.16750456392765045,-4.953055381774902,-76.4310302734375,-26.419483184814453,-6.808067321777344
1777556608487256,2.0530900955200195,-0.05479268729686737,-5.142083644866943,-72.2081527709961,-24.63273048400879,-9.348469734191895
1777556608497271,2.0780763626098633,-0.06965134292840958,-5.205036163330078,-72.24588012695312,-24.664710998535156,-9.073939323425293
1777556608507270,2.0577473640441895,-0.04154054820537567,-5.175465106964111,-71.88494873046875,-24.55699920654297,-9.287616729736328
1777556608517281,2.0489048957824707,-0.049292873591184616,-5.21361780166626,-71.95796203613281,-24.4925594329834,-9.096009254455566
1777556608527220,2.0643928050994873,-0.0641528069972992,-5.202963352203369,-72.19414520263672,-24.70771026611328,-9.171980857849121
1777556608537271,2.054884433746338,-0.06672414392232895,-5.214639663696289,-72.21987915039062,-24.66958236694336,-9.243318557739258
1777556608547288,2.0725173950195312,-0.03211626410484314,-5.201026916503906,-72.13896942138672,-24.525720596313477,-9.240068435668945
1777556608557282,2.058835983276367,-0.03493873402476311,-5.169299602508545,-71.81431579589844,-24.54044532775879,-9.412698745727539
1777556608567310,2.073183059692383,-0.0619848407804966,-5.170344352722168,-72.09806823730469,-24.578388214111328,-9.316012382507324
1777556608577342,2.0585455894470215,-0.051889870315790176,-5.179669380187988,-71.99684143066406,-24.685148239135742,-9.08406925201416
1777556608587275,2.068754196166992,-0.07420043647289276,-5.207577705383301,-72.16239929199219,-24.69675064086914,-9.107362747192383
1777556608597314,2.0752270221710205,-0.0521477647125721,-5.18177604675293,-72.1530990600586,-24.536659240722656,-9.22960090637207
1777556608607371,2.074707508087158,-0.051004622131586075,-5.188412666320801,-72.0050048828125,-24.65177345275879,-9.398247718811035
1777556608617390,2.064910888671875,-0.051719069480895996,-5.203919887542725,-72.05670928955078,-24.769027709960938,-9.203821182250977
1777556608627432,2.063660144805908,-0.04752776399254799,-5.219207286834717,-72.14888000488281,-24.804401397705078,-9.11297607421875
1777556608637321,2.066652297973633,-0.042005229741334915,-5.1879730224609375,-71.92901611328125,-24.641307830810547,-9.21651554107666
1777556608647367,2.076291799545288,-0.046433400362730026,-5.191481113433838,-72.0103759765625,-24.782724380493164,-9.275479316711426
1777556608657355,2.066721200942993,-0.05180778354406357,-5.201895236968994,-72.13863372802734,-24.64092254638672,-9.101909637451172
1777556608667283,2.0637073516845703,-0.05785028636455536,-5.195684432983398,-71.89939880371094,-24.626953125,-9.387983322143555
1777556608677287,2.066338062286377,-0.05050884187221527,-5.172442436218262,-72.18998718261719,-24.702346801757812,-9.308014869689941
1777556608687293,2.062678337097168,-0.07168126851320267,-5.17447566986084,-72.16751861572266,-24.546348571777344,-9.32200813293457
1777556608697271,2.0667314529418945,-0.06294560432434082,-5.21124792098999,-72.04499053955078,-24.58646011352539,-9.192392349243164
1777556608707289,2.0667009353637695,-0.046575188636779785,-5.17576789855957,-72.0195541381836,-24.59029197692871,-9.045576095581055
1777556608717268,2.0649914741516113,-0.06337498873472214,-5.202854156494141,-72.06852722167969,-24.75433921813965,-9.391314506530762
1777556608727267,2.06512713432312,-0.05546213686466217,-5.202561855316162,-72.22566986083984,-24.493925094604492,-9.220266342163086
1777556608737272,2.0636062622070312,-0.041371867060661316,-5.208256244659424,-72.01528930664062,-24.426685333251953,-9.389925956726074
1777556608747213,2.0546064376831055,-0.044652994722127914,-5.195635795593262,-72.18195343017578,-24.607210159301758,-9.30025863647461
1777556608757217,2.0603933334350586,-0.05193384736776352,-5.172782897949219,-72.17778778076172,-24.478557586669922,-9.19534969329834
1777556608767241,2.0629122257232666,-0.04340396076440811,-5.192730903625488,-71.8623275756836,-24.63311195373535,-9.337545394897461
1777556608777289,2.0541152954101562,-0.059213560074567795,-5.175426483154297,-71.91949462890625,-24.785076141357422,-9.262801170349121
1777556608787243,2.067948818206787,-0.05663628876209259,-5.213371276855469,-71.98169708251953,-24.795515060424805,-9.306645393371582
1777556608797333,2.0554816722869873,-0.0451960451900959,-5.194222927093506,-72.08743286132812,-24.609941482543945,-9.28723430633545
1777556608807307,2.063526153564453,-0.04989118129014969,-5.214872360229492,-72.24519348144531,-24.549259185791016,-9.151103973388672
1777556608817233,2.0637927055358887,-0.04487390071153641,-5.207795143127441,-72.01622772216797,-24.791961669921875,-9.279945373535156
1777556608827348,2.057649612426758,-0.05208631604909897,-5.147454261779785,-71.97462463378906,-24.797122955322266,-9.233657836914062
1777556608837223,2.067044496536255,-0.05054834112524986,-5.217653751373291,-71.98590087890625,-24.764690399169922,-9.274688720703125
1777556608847296,2.0718154907226562,-0.05830877274274826,-5.2152180671691895,-72.09284210205078,-24.765724182128906,-9.09765625
1777556608857231,2.0695791244506836,-0.03385219722986221,-5.190595626831055,-71.93396759033203,-24.64998435974121,-9.152091026306152
1777556608867283,2.07403302192688,-0.03878713771700859,-5.187088966369629,-72.11322784423828,-24.627281188964844,-9.545433044433594
1777556608877231,2.0789313316345215,-0.04686436057090759,-5.236466407775879,-72.31571197509766,-24.523494720458984,-9.354348182678223
1777556608887231,2.0391087532043457,0.08166742324829102,-4.999096870422363,-68.89788818359375,-22.914794921875,-9.808536529541016
1777556608897222,1.8949029445648193,0.5154256820678711,-4.198946952819824,-54.225162506103516,-15.234956741333008,-10.589359283447266
1777556608907238,1.5964431762695312,0.6346108317375183,-2.9504337310791016,-34.19525146484375,-8.484513282775879,-10.188867568969727
1777556608917210,1.4886548519134521,0.5694373250007629,-2.1533725261688232,-22.598114013671875,-5.9661664962768555,-10.780641555786133
1777556608927261,0.5757415294647217,-1.2474390268325806,-2.7061004638671875,-41.07430648803711,-23.874305725097656,4.962400913238525
1777556608937276,3.9736225605010986,-3.8959805965423584,-11.162568092346191,-146.0067901611328,-61.44739532470703,-7.63713264465332
1777556608947201,5.960460186004639,-5.564822196960449,-17.495811462402344,-218.6459503173828,-100.14099884033203,-12.546897888183594
1777556608957242,4.637054443359375,-4.381040573120117,-15.278114318847656,-185.083251953125,-88.12887573242188,-5.043575286865234
1777556608967183,2.0168344974517822,-1.466874361038208,-6.772849082946777,-79.3829345703125,-35.05792236328125,-0.1567521095275879
1777556608977254,0.48373398184776306,0.16884997487068176,-1.3407105207443237,-7.727651596069336,-1.6267622709274292,0.44583404064178467
1777556608987203,0.43600374460220337,0.18418648838996887,-0.5624376535415649,2.526589870452881,1.5100946426391602,-0.45304274559020996
1777556608997446,0.9710491895675659,-0.6514614820480347,-2.7975151538848877,-22.782554626464844,-16.697261810302734,-0.1407577395439148
1777556609007348,2.037099838256836,-2.803969621658325,-9.000003814697266,-86.30550384521484,-68.29764556884766,5.186660289764404
1777556609017372,3.290555953979492,-5.241916656494141,-16.279441833496094,-154.9552459716797,-134.38511657714844,8.523435592651367
1777556609027362,3.138036012649536,-5.1057353019714355,-15.633990287780762,-144.44711303710938,-137.86463928222656,7.953975677490234
1777556609037198,1.80027174949646,-2.6451592445373535,-6.980623245239258,-65.608642578125,-74.87433624267578,1.7101554870605469
1777556609047253,0.7837783694267273,-0.5346534848213196,-0.8372126817703247,-6.596767902374268,-15.83285140991211,-2.41384220123291
1777556609057293,0.46318796277046204,0.08473750948905945,-0.33497440814971924,3.389216184616089,0.05347764492034912,-0.8851954936981201
1777556609067244,0.41172534227371216,-0.013254400342702866,-1.2196696996688843,-3.329291820526123,-5.661688327789307,0.6168461441993713
1777556609077233,0.8085130453109741,-1.6951862573623657,-7.884365081787109,-55.99677658081055,-65.09713745117188,9.80793571472168
1777556609087209,1.5951180458068848,-4.077465534210205,-14.46738052368164,-108.43556213378906,-131.7513427734375,17.052040100097656
1777556609097206,1.8364646434783936,-4.6485795974731445,-14.321514129638672,-108.79500579833984,-143.3391876220703,14.584898948669434
1777556609107195,1.6547760963439941,-3.039700984954834,-8.080992698669434,-66.0588607788086,-94.21554565429688,3.3497719764709473
1777556609117198,1.0509190559387207,-1.298593521118164,-3.0162272453308105,-27.05463981628418,-41.98290252685547,-1.2152419090270996
1777556609127241,0.6929677724838257,-0.7926096320152283,-2.9861602783203125,-23.195959091186523,-31.765796661376953,1.6277426481246948
1777556609137208,0.7049168348312378,-1.4465372562408447,-6.013949394226074,-44.42667770385742,-56.5110969543457,6.752704620361328
1777556609147209,0.945163369178772,-2.567821741104126,-9.743173599243164,-70.62037658691406,-92.36819458007812,11.518392562866211
1777556609157234,1.1883927583694458,-3.474954605102539,-11.881912231445312,-85.59967041015625,-116.9736328125,13.969535827636719
1777556609167237,1.2143566608428955,-3.7250213623046875,-11.356598854064941,-83.423583984375,-118.38548278808594,13.527780532836914
1777556609177204,1.0177278518676758,-3.532423734664917,-10.37786865234375,-77.34869384765625,-110.59210968017578,13.114656448364258
1777556609187179,0.9312178492546082,-3.274582624435425,-9.731521606445312,-72.67681121826172,-103.2505111694336,12.964862823486328
1777556609197206,0.7613662481307983,-3.0106730461120605,-8.784041404724121,-66.70980834960938,-94.50691223144531,12.113832473754883
1777556609207221,0.5636048316955566,-3.1090328693389893,-9.158199310302734,-68.72314453125,-95.947265625,14.818351745605469
1777556609217191,0.49602198600769043,-3.6660592555999756,-11.087541580200195,-80.74615478515625,-111.74396514892578,19.66648292541504
1777556609227204,0.5476921796798706,-4.096616268157959,-11.881916046142578,-87.32410430908203,-122.07293701171875,20.684589385986328
1777556609237209,0.49219417572021484,-3.9930806159973145,-11.19644832611084,-84.16441345214844,-118.67224884033203,18.9267578125
1777556609247219,0.3935399055480957,-3.6279258728027344,-10.213702201843262,-77.67152404785156,-109.55526733398438,17.652748107910156
1777556609257280,0.22699302434921265,-3.295285701751709,-9.43619155883789,-72.88739013671875,-101.78001403808594,16.402069091796875
1777556609267229,-0.11885178089141846,-3.375622510910034,-10.520187377929688,-80.29531860351562,-110.90862274169922,18.685413360595703
1777556609277237,-0.252269983291626,-3.7379658222198486,-11.991596221923828,-90.70293426513672,-124.55626678466797,21.088890075683594
1777556609287218,-0.16566729545593262,-3.6293256282806396,-11.503165245056152,-87.85640716552734,-121.75479125976562,19.40435028076172
1777556609297267,-0.1987696886062622,-3.3522377014160156,-10.562751770019531,-81.39340209960938,-113.47987365722656,17.819015502929688
1777556609307190,-0.27615880966186523,-3.0885870456695557,-10.018065452575684,-77.47396850585938,-108.16242218017578,16.71448516845703
1777556609317219,-0.4122656583786011,-3.048149824142456,-10.251090049743652,-79.20829772949219,-109.77386474609375,17.376564025878906
1777556609327223,-0.7398325204849243,-3.3057525157928467,-11.5599365234375,-88.824951171875,-122.63358306884766,19.491703033447266
1777556609337128,-0.927297830581665,-3.4060657024383545,-12.222929000854492,-94.57164001464844,-130.88076782226562,20.166566848754883
1777556609347128,-0.8713629245758057,-2.958101987838745,-11.013233184814453,-86.57423400878906,-120.59051513671875,16.68671417236328
