Timestamp,Fx,Fy,Fz,Mx,My,Mz
1776702117901082,0.5926802754402161,0.6760892271995544,-4.504236221313477,-48.28974533081055,29.026620864868164,-0.8254890441894531
1776702117911080,0.6032671332359314,0.6968508362770081,-4.510545253753662,-48.31251907348633,28.961809158325195,-0.950963020324707
1776702117921081,0.5950039029121399,0.6884790658950806,-4.525327682495117,-48.25274658203125,28.855985641479492,-1.001570701599121
1776702117931175,0.5993965268135071,0.691870927810669,-4.500480651855469,-48.22248840332031,29.098743438720703,-1.0740642547607422
1776702117941226,0.6145473122596741,0.6607162356376648,-4.513515949249268,-48.52534484863281,28.85338020324707,-0.9871196746826172
1776702117951227,0.6136705279350281,0.6890649795532227,-4.523210048675537,-48.490867614746094,28.994041442871094,-0.8998208045959473
1776702117961208,0.5877576470375061,0.6677139401435852,-4.520802974700928,-48.509666442871094,28.92072868347168,-0.9189095497131348
1776702117971167,0.6038171648979187,0.6811454892158508,-4.5357561111450195,-48.532814025878906,29.041322708129883,-0.8690104484558105
1776702117981214,0.6208027601242065,0.6758355498313904,-4.504744529724121,-48.55712127685547,28.948226928710938,-0.7657208442687988
1776702117991160,0.6156218647956848,0.6814963817596436,-4.516169548034668,-48.43008804321289,28.895532608032227,-0.8966312408447266
1776702118001164,0.5918037295341492,0.6958680152893066,-4.533698081970215,-48.200584411621094,28.928159713745117,-0.9087529182434082
1776702118011086,0.6047595739364624,0.6896925568580627,-4.553471565246582,-48.340614318847656,28.788057327270508,-0.8661403656005859
1776702118021119,0.6146982908248901,0.6712117195129395,-4.520532131195068,-48.38602828979492,28.92644691467285,-0.9408588409423828
1776702118031059,0.6030504703521729,0.6778372526168823,-4.502445697784424,-48.336631774902344,28.68942642211914,-0.6937427520751953
1776702118041140,0.6126055717468262,0.680260419845581,-4.5290021896362305,-48.395809173583984,28.94108772277832,-0.9612021446228027
1776702118051044,0.5941848158836365,0.6742058992385864,-4.523033142089844,-48.308231353759766,28.861541748046875,-0.7013206481933594
1776702118061138,0.6133242249488831,0.6745172142982483,-4.5232086181640625,-48.42466354370117,28.79290771484375,-0.6153101921081543
1776702118071091,0.6034720540046692,0.6777231693267822,-4.501000881195068,-48.418514251708984,29.145030975341797,-0.9112906455993652
1776702118081135,0.6048263311386108,0.6755824685096741,-4.519602298736572,-48.45726776123047,28.922441482543945,-0.9727067947387695
1776702118091073,0.5986346006393433,0.6700995564460754,-4.53579044342041,-48.51106262207031,29.034908294677734,-0.8964095115661621
1776702118101125,0.5986980199813843,0.6637936234474182,-4.510267734527588,-48.519775390625,28.914377212524414,-0.9224348068237305
1776702118111012,0.6132617592811584,0.6695753931999207,-4.5224456787109375,-48.38872146606445,28.799701690673828,-1.056741714477539
1776702118121021,0.5996101498603821,0.6760302782058716,-4.509305000305176,-48.3104133605957,28.988313674926758,-0.8376822471618652
1776702118131032,0.6068005561828613,0.6915154457092285,-4.516972064971924,-48.29997253417969,29.019062042236328,-0.9142460823059082
1776702118141041,0.6090377569198608,0.6835060715675354,-4.50918436050415,-48.35548782348633,29.003705978393555,-0.9696493148803711
1776702118151136,0.611055314540863,0.6780794262886047,-4.521400451660156,-48.57020950317383,28.886951446533203,-0.8136734962463379
1776702118161184,0.6154814958572388,0.6903441548347473,-4.477219104766846,-48.43687438964844,28.965051651000977,-0.8939414024353027
1776702118171142,0.6138108968734741,0.673940122127533,-4.494650840759277,-48.3844108581543,28.736230850219727,-0.8860774040222168
