epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-2774.1263,501.0,-0.023927,254101.343750,0.013135,80,7,7.6662,5.8489,3.9963,66.25
2,-2628.7363,501.0,-0.007345,186443.906250,0.016209,7,7,6.7629,7.4952,5.5241,67.05
3,-2163.5278,501.0,-0.005909,122088.843750,0.015640,7,7,5.9493,6.8509,4.4050,65.82
4,-1771.0138,501.0,-0.007428,74642.546875,0.015956,10,7,5.5572,5.1724,4.8488,65.71
5,-1762.4567,501.0,-0.006807,82726.765625,0.015358,12,7,5.5456,5.4473,6.4012,66.41
6,-1525.5630,501.0,-0.007602,53556.121094,0.015449,11,7,5.5705,4.5911,5.0517,68.81
7,-1596.8297,501.0,-0.006740,68788.171875,0.016331,8,7,5.5370,5.1634,4.9965,69.14
8,-1527.9209,501.0,-0.008140,49670.359375,0.015024,14,7,5.0201,5.0580,5.4024,66.26
9,-1615.8426,501.0,-0.005898,52157.457031,0.016033,9,7,5.2831,5.4974,4.7544,68.38
10,-1656.2696,501.0,-0.007347,54407.148438,0.015606,11,7,5.5675,4.8366,4.2576,69.39
