epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
61,-489.7478,250.0,-0.010151,36737.871094,0.015027,9,16,5.5102,2.9277,1.5109,10.57
62,-977.0437,247.7,-0.009201,32460.695312,0.016768,8,16,19.4132,5.6013,1.6515,10.36
63,-1087.9834,238.9,-0.006685,32211.140625,0.015889,8,16,7.4851,4.5139,1.5006,11.07
64,-779.3347,250.0,-0.005255,17962.517578,0.015277,9,16,5.3981,3.1174,1.6367,10.98
65,-871.0417,250.0,-0.004763,39985.359375,0.015319,7,16,7.2836,3.5398,2.1589,10.51
66,-1083.2317,247.4,-0.006366,24501.197266,0.015306,8,16,6.6598,3.2983,1.5474,10.50
67,-757.6685,250.0,-0.008245,49568.875000,0.016223,8,16,6.2819,2.9668,1.6519,11.84
68,-593.6716,236.5,-0.006992,9722.555664,0.015434,13,17,3.9740,3.5658,1.6797,11.16
69,-670.5985,240.4,-0.006951,38903.718750,0.015118,14,16,15.4362,5.2784,1.8292,11.67
70,-1085.2923,250.0,-0.017978,43552.933594,0.011793,80,16,4.0479,5.9552,1.6107,10.71
71,-589.2222,227.9,-0.010625,57991.304688,0.016951,9,18,15.4391,3.0308,1.4939,10.82
72,-778.3558,250.0,-0.017570,8897.138672,0.013420,80,16,3.5161,2.4658,1.6845,11.23
73,-545.5947,216.2,-0.015704,25118.431641,0.015010,44,19,11.5093,4.4988,1.5942,12.26
74,-1001.9746,236.7,-0.009168,65083.703125,0.016796,7,17,7.6312,4.8829,1.7835,11.98
75,-741.1870,250.0,-0.009473,16526.103516,0.015307,22,16,4.8586,2.9613,1.4827,11.21
76,-1130.6531,242.8,-0.015632,59888.367188,0.011477,80,16,6.5082,6.5023,1.6033,10.77
77,-802.4738,250.0,-0.017547,19835.011719,0.015037,54,16,4.6749,4.6493,1.5003,10.79
78,-633.4983,250.0,-0.013658,19037.457031,0.015141,38,16,4.2365,4.4283,1.6381,10.69
79,-673.5076,250.0,-0.007304,19348.166016,0.016151,7,16,4.3027,4.4302,1.3779,10.35
80,-870.7068,236.6,-0.005240,28900.398438,0.015990,8,17,5.9042,5.5567,1.6146,10.37
81,-828.9369,250.0,-0.006255,18438.029297,0.015619,13,16,4.7194,4.6709,1.4265,10.66
82,-874.2708,245.6,-0.008108,70984.046875,0.015088,7,17,7.7499,2.7642,1.5837,10.24
83,-907.9025,246.4,-0.008217,43008.632812,0.018177,7,16,10.4246,3.3043,1.6802,10.58
84,-763.6402,235.7,-0.003623,17458.310547,0.015195,8,16,5.8649,4.0589,1.7212,10.52
85,-714.9636,250.0,-0.003491,16306.554688,0.015644,7,16,4.9523,2.7711,1.5834,10.65
86,-627.0150,250.0,-0.011956,9489.963867,0.015123,37,16,3.5163,3.2649,1.6638,10.81
87,-569.0829,250.0,-0.006183,13267.438477,0.015523,11,16,3.8812,3.2064,1.7612,10.35
88,-878.3942,238.1,-0.008463,52118.597656,0.015389,8,17,62.2385,4.7207,1.6886,11.19
89,-648.9788,250.0,-0.006080,16668.773438,0.015402,12,16,4.4359,4.1399,1.6152,11.13
90,-932.4183,250.0,-0.012094,24211.566406,0.015153,32,16,5.3808,3.5725,1.7147,11.24
91,-726.1279,241.7,-0.012396,36256.312500,0.015069,14,17,12.9630,3.2460,1.7584,11.06
92,-701.6382,250.0,-0.009285,13059.908203,0.015341,16,16,3.6660,4.0794,1.7576,11.07
