Timestamp,Fx,Fy,Fz,Mx,My,Mz
1777554217381063,0.24937069416046143,1.205824613571167,-6.457774639129639,-48.8179817199707,36.53243637084961,-1.5327153205871582
1777554217381276,0.5252034664154053,0.09828615188598633,-3.9016709327697754,-32.76911544799805,-15.232248306274414,-1.8106534481048584
1777554217391303,0.5312797427177429,0.11530663073062897,-3.898989200592041,-32.73746109008789,-14.968531608581543,-1.9239518642425537
1777554217401287,0.5162488222122192,0.12475959956645966,-3.864096164703369,-32.611846923828125,-14.91862678527832,-1.899763822555542
1777554217411239,0.5200376510620117,0.11779234558343887,-3.8788299560546875,-32.850067138671875,-14.960428237915039,-1.958301067352295
1777554217421187,0.5346677303314209,0.09603282809257507,-3.8880372047424316,-32.87287139892578,-15.297367095947266,-2.0898842811584473
1777554217431310,0.5333491563796997,0.10467704385519028,-3.91508412361145,-32.821224212646484,-15.323304176330566,-2.002617359161377
1777554217441215,0.5268439054489136,0.1162206307053566,-3.921687126159668,-32.62284851074219,-15.099693298339844,-1.850423812866211
1777554217451291,0.5328326225280762,0.12187517434358597,-3.8807878494262695,-32.672183990478516,-15.30154037475586,-1.8594520092010498
1777554217461213,0.5367980599403381,0.11018317192792892,-3.907270669937134,-32.80372619628906,-15.263107299804688,-1.9228894710540771
1777554217471301,0.5281388759613037,0.12885423004627228,-3.920187473297119,-32.66423797607422,-15.159801483154297,-1.7102844715118408
1777554217481258,0.5337401032447815,0.12164629995822906,-3.9065306186676025,-32.76036071777344,-15.086726188659668,-1.899658441543579
1777554217491240,0.5378283858299255,0.1167277842760086,-3.904245376586914,-32.80198669433594,-14.993634223937988,-1.9435975551605225
1777554217501330,0.5399841666221619,0.11780302226543427,-3.8974719047546387,-32.685340881347656,-15.15596866607666,-1.693786859512329
1777554217511290,0.5324591398239136,0.11529984325170517,-3.9035511016845703,-32.82551193237305,-14.9569091796875,-1.9033091068267822
1777554217521196,0.5184933543205261,0.11286189407110214,-3.8943188190460205,-32.865631103515625,-15.244361877441406,-1.8678398132324219
1777554217531173,0.5303554534912109,0.11222357302904129,-3.8774261474609375,-32.80685806274414,-14.92858600616455,-1.9341404438018799
1777554217541191,0.5190598964691162,0.1181415244936943,-3.909531593322754,-32.66588592529297,-15.121320724487305,-2.0487194061279297
1777554217551251,0.5326906442642212,0.11178445816040039,-3.8777482509613037,-32.5590934753418,-15.146039962768555,-1.944305419921875
1777554217561210,0.5293499827384949,0.12440292537212372,-3.913191795349121,-32.7720832824707,-15.097799301147461,-2.0211129188537598
1777554217571238,0.5220589637756348,0.11823119223117828,-3.894798994064331,-32.77435302734375,-15.127561569213867,-2.011488199234009
1777554217581169,0.5337935090065002,0.11318428814411163,-3.902812957763672,-32.81255340576172,-15.086221694946289,-2.0050315856933594
1777554217591254,0.5329335331916809,0.09967651218175888,-3.908935546875,-32.81084060668945,-15.071432113647461,-1.8835453987121582
1777554217601235,0.5411763191223145,0.13051468133926392,-3.895453453063965,-32.620018005371094,-15.057037353515625,-1.8528051376342773
1777554217611230,0.5136419534683228,0.11079994589090347,-3.8905739784240723,-32.95988845825195,-15.12596321105957,-1.770937442779541
1777554217621180,0.5324140787124634,0.10908817499876022,-3.894916296005249,-32.581451416015625,-15.1823148727417,-1.8600513935089111
1777554217631185,0.5292230844497681,0.11012936383485794,-3.88517427444458,-32.61749267578125,-14.993396759033203,-1.9722325801849365
1777554217641182,0.5399453639984131,0.111625075340271,-3.905486583709717,-32.69008255004883,-15.04893684387207,-1.8536972999572754
1777554217651233,0.5343084335327148,0.08739084750413895,-3.896838665008545,-32.88573455810547,-15.206297874450684,-1.9485983848571777
1777554217661240,0.5271705985069275,0.11043088138103485,-3.9079105854034424,-32.827754974365234,-15.087946891784668,-1.8593504428863525
1777554217671230,0.5273610353469849,0.1100182980298996,-3.9041271209716797,-32.67041778564453,-15.044991493225098,-1.7574124336242676
1777554217681199,0.5257437825202942,0.0955296978354454,-3.923816442489624,-32.78321838378906,-15.277774810791016,-1.765493631362915
1777554217691207,0.5358700752258301,0.1303957998752594,-3.886838436126709,-32.73896789550781,-15.12846565246582,-2.0423810482025146
1777554217701237,0.5368755459785461,0.12807919085025787,-3.9221363067626953,-32.76490020751953,-15.230159759521484,-1.8121490478515625
1777554217711241,0.5478445291519165,0.11927923560142517,-3.8931055068969727,-32.74623107910156,-15.146612167358398,-1.7828845977783203
