epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,-2362.0480,454.4,-0.011358,184877.734375,0.015092,9,5,nan,7.4483,nan,21.16
2,-2554.9501,464.8,-0.008970,163159.515625,0.015370,12,10,nan,30.6511,nan,17.95
3,-2413.0604,501.0,-0.008884,121166.609375,0.016212,12,8,nan,6.7857,nan,18.10
4,-1921.6822,459.7,-0.008227,86209.265625,0.016180,11,9,nan,6.2431,nan,18.04
5,-2023.6117,462.8,-0.007884,94727.937500,0.016340,11,8,nan,6.7649,nan,18.09
6,-2014.4878,501.0,-0.006568,84852.429688,0.016750,11,8,nan,6.3172,nan,18.10
7,-2070.0355,493.8,-0.006820,81920.476562,0.015234,15,8,nan,6.8596,nan,18.67
8,-1786.2087,501.0,-0.007415,57901.734375,0.015374,17,8,nan,5.7459,nan,18.95
9,-1796.5090,501.0,-0.007195,54117.832031,0.016029,12,8,nan,5.3816,nan,17.88
10,-1689.9030,501.0,-0.008293,50937.886719,0.015283,16,8,nan,5.2889,nan,18.56
11,-1598.6207,501.0,-0.005974,42837.714844,0.016217,7,8,nan,5.3459,nan,18.31
12,-1655.9392,501.0,-0.006033,42859.089844,0.015034,11,8,nan,5.6272,nan,18.18
13,-1565.0437,501.0,-0.014747,35377.910156,0.015016,46,8,nan,5.1635,nan,18.18
14,-1471.2349,501.0,-0.006845,29849.060547,0.015295,10,8,nan,4.8320,nan,17.89
15,-1483.7569,501.0,-0.006027,32093.050781,0.015932,9,8,nan,4.7872,nan,18.37
16,-1465.5882,501.0,-0.006930,27945.224609,0.015346,11,8,nan,4.8108,nan,19.88
17,-1554.3113,501.0,-0.006856,33421.156250,0.015472,11,8,nan,5.4983,nan,18.25
18,-1498.2144,501.0,-0.016139,25402.896484,0.015094,52,8,nan,4.9169,nan,18.48
19,-1288.8509,501.0,-0.006055,18831.476562,0.015083,11,8,nan,4.6334,nan,18.35
20,-1372.8095,501.0,-0.005626,19367.564453,0.015150,9,8,nan,4.7291,nan,18.06
21,-1309.4204,501.0,-0.005033,14839.402344,0.016066,9,8,nan,4.4656,nan,18.49
22,-1270.9803,501.0,-0.005719,13449.605469,0.015069,10,8,nan,4.4115,nan,19.00
23,-1244.8299,501.0,-0.006889,16062.503906,0.017033,10,8,nan,4.6811,nan,19.22
24,-1308.1744,501.0,-0.013409,11822.784180,0.015177,36,8,nan,4.3865,nan,18.28
25,-1205.1232,501.0,-0.007803,14798.546875,0.015310,13,8,nan,4.7667,nan,17.77
26,-1268.9857,501.0,-0.006445,9440.154297,0.016066,13,8,nan,4.2106,nan,17.86
27,-1242.3019,501.0,-0.005742,11958.323242,0.015387,11,8,nan,4.4166,nan,17.72
28,-1193.5666,501.0,-0.004583,8245.084961,0.015965,10,8,nan,4.2201,nan,18.49
29,-1135.9456,501.0,-0.005851,7159.267578,0.015364,11,8,nan,3.7808,nan,18.04
30,-1145.6979,501.0,-0.007527,7771.236328,0.016737,11,8,nan,4.0438,nan,18.13
31,-1184.4910,501.0,-0.005666,6694.727051,0.015646,10,8,nan,4.0101,nan,18.01
32,-1128.9960,501.0,-0.006415,6624.450195,0.015104,13,8,nan,4.1406,nan,17.98
33,-1112.5356,501.0,-0.005629,4862.119141,0.015693,10,8,nan,3.8311,nan,18.00
34,-1048.5122,501.0,-0.006388,4757.991211,0.016602,8,8,nan,3.8481,nan,18.00
35,-1120.6788,501.0,-0.005232,6299.912598,0.016033,10,8,nan,4.4670,nan,17.73
36,-1192.1602,501.0,-0.010256,7038.481445,0.015249,19,8,nan,4.2639,nan,18.29
37,-1073.8947,501.0,-0.005814,4944.816406,0.016869,10,8,nan,3.8739,nan,18.52
38,-1127.7083,501.0,-0.005085,5069.942383,0.015165,9,8,nan,4.1077,nan,18.11
39,-1045.2641,501.0,-0.004851,3496.413086,0.016238,11,8,nan,3.8500,nan,17.79
40,-1026.3272,501.0,-0.006452,3884.131592,0.016328,10,8,nan,3.8156,nan,17.71
41,-1057.5877,501.0,-0.006333,2815.315674,0.015333,13,8,nan,3.7302,nan,17.83
42,-1012.0137,501.0,-0.004498,3183.013916,0.015109,10,8,nan,3.5373,nan,17.57
43,-1001.2310,501.0,-0.005482,2859.258789,0.017690,9,8,nan,3.5845,nan,17.78
44,-988.1010,501.0,-0.005383,3411.672119,0.015207,10,8,nan,3.8202,nan,17.69
45,-1019.7262,501.0,-0.005789,3439.143555,0.015650,10,8,nan,3.7710,nan,17.50
46,-986.2075,501.0,-0.005544,2881.092529,0.015086,11,8,nan,3.4969,nan,17.95
47,-1002.9678,501.0,-0.005065,2838.104004,0.016620,9,7,nan,3.6276,nan,17.66
48,-933.2640,501.0,-0.005938,1735.221558,0.015825,10,8,nan,3.1794,nan,18.31
49,-972.2360,501.0,-0.004276,4123.401367,0.015247,9,8,nan,3.9609,nan,18.19
50,-1016.0352,501.0,-0.006237,2790.679688,0.016838,11,8,nan,3.8685,nan,18.46
