18:25:41 - Time: 1752510341.667, current_contact_force: 0.0
18:25:41 - Time: 1752510341.672, current_contact_force: 0.0
18:25:41 - Time: 1752510341.674, current_contact_force: 0.0
18:25:41 - Time: 1752510341.679, current_contact_force: 0.0
18:25:41 - Time: 1752510341.684, current_contact_force: 0.0
18:25:41 - Time: 1752510341.692, current_contact_force: 0.0
18:25:41 - Time: 1752510341.694, current_contact_force: 0.0
18:25:41 - Time: 1752510341.696, current_contact_force: 0.0
18:25:41 - Time: 1752510341.698, current_contact_force: 0.0
18:25:41 - Time: 1752510341.703, current_contact_force: 0.0
18:25:41 - Time: 1752510341.707, current_contact_force: 0.0
18:25:41 - Time: 1752510341.715, current_contact_force: 0.0
18:25:41 - Time: 1752510341.719, current_contact_force: 0.0
18:25:41 - Time: 1752510341.726, current_contact_force: 0.0
18:25:41 - Time: 1752510341.732, current_contact_force: 0.0
18:25:41 - Time: 1752510341.735, current_contact_force: 0.0
18:25:41 - Time: 1752510341.739, current_contact_force: 0.0
18:25:41 - Time: 1752510341.745, current_contact_force: 0.0
18:25:41 - Time: 1752510341.749, current_contact_force: 0.0
18:25:41 - Time: 1752510341.751, current_contact_force: 0.0
18:25:41 - Time: 1752510341.753, current_contact_force: 0.0
18:25:41 - Time: 1752510341.758, current_contact_force: 0.0
18:25:41 - Time: 1752510341.762, current_contact_force: 0.0
18:25:41 - Time: 1752510341.767, current_contact_force: 0.0
18:25:41 - Time: 1752510341.772, current_contact_force: 0.0
18:25:41 - Time: 1752510341.777, current_contact_force: 0.0
18:25:41 - Time: 1752510341.781, current_contact_force: 0.0
18:25:41 - Time: 1752510341.785, current_contact_force: 0.0
18:25:41 - Time: 1752510341.792, current_contact_force: 0.0
18:25:41 - Time: 1752510341.800, current_contact_force: 0.0
18:25:41 - Time: 1752510341.804, current_contact_force: 0.0
18:25:41 - Time: 1752510341.812, current_contact_force: 0.0
18:25:41 - Time: 1752510341.815, current_contact_force: 0.0
18:25:41 - Time: 1752510341.818, current_contact_force: 0.0
18:25:41 - Time: 1752510341.821, current_contact_force: 0.0
18:25:41 - Time: 1752510341.825, current_contact_force: 0.0
18:25:41 - Time: 1752510341.829, current_contact_force: 0.0
18:25:41 - Time: 1752510341.837, current_contact_force: 0.0
18:25:41 - Time: 1752510341.842, current_contact_force: 0.0
18:25:41 - Time: 1752510341.850, current_contact_force: 0.0
18:25:41 - Time: 1752510341.856, current_contact_force: 0.0
18:25:41 - Time: 1752510341.859, current_contact_force: 0.0
18:25:41 - Time: 1752510341.867, current_contact_force: 0.0
18:25:41 - Time: 1752510341.872, current_contact_force: 0.0
18:25:41 - Time: 1752510341.875, current_contact_force: 0.0
18:25:41 - Time: 1752510341.880, current_contact_force: 0.0
18:25:41 - Time: 1752510341.883, current_contact_force: 0.0
18:25:41 - Time: 1752510341.887, current_contact_force: 0.0
18:25:41 - Time: 1752510341.892, current_contact_force: 0.0
18:25:41 - Time: 1752510341.897, current_contact_force: 0.0
18:25:41 - Time: 1752510341.903, current_contact_force: 0.0
18:25:41 - Time: 1752510341.907, current_contact_force: 0.0
18:25:41 - Time: 1752510341.910, current_contact_force: 0.0
18:25:41 - Time: 1752510341.917, current_contact_force: 0.0
18:25:41 - Time: 1752510341.922, current_contact_force: 0.0
18:25:41 - Time: 1752510341.932, current_contact_force: 0.0
18:25:41 - Time: 1752510341.938, current_contact_force: 0.0
18:25:41 - Time: 1752510341.942, current_contact_force: 0.0
18:25:41 - Time: 1752510341.944, current_contact_force: 0.0
18:25:41 - Time: 1752510341.946, current_contact_force: 0.0
18:25:41 - Time: 1752510341.951, current_contact_force: 0.0
18:25:41 - Time: 1752510341.957, current_contact_force: 0.0
18:25:41 - Time: 1752510341.964, current_contact_force: 0.0
18:25:41 - Time: 1752510341.967, current_contact_force: 0.0
18:25:41 - Time: 1752510341.970, current_contact_force: 0.0
18:25:41 - Time: 1752510341.978, current_contact_force: 0.0
18:25:41 - Time: 1752510341.981, current_contact_force: 0.0
18:25:41 - Time: 1752510341.986, current_contact_force: 0.0
18:25:41 - Time: 1752510341.994, current_contact_force: 0.0
18:25:41 - Time: 1752510341.998, current_contact_force: 0.0
18:25:42 - Time: 1752510342.002, current_contact_force: 0.0
18:25:42 - Time: 1752510342.006, current_contact_force: 0.0
18:25:42 - Time: 1752510342.010, current_contact_force: 0.0
18:25:42 - Time: 1752510342.012, current_contact_force: 0.0
18:25:42 - Time: 1752510342.015, current_contact_force: 0.0
18:25:42 - Time: 1752510342.018, current_contact_force: 0.0
18:25:42 - Time: 1752510342.022, current_contact_force: 0.0
18:25:42 - Time: 1752510342.026, current_contact_force: 0.0
18:25:42 - Time: 1752510342.029, current_contact_force: 0.0
18:25:42 - Time: 1752510342.034, current_contact_force: 0.0
18:25:42 - Time: 1752510342.038, current_contact_force: 0.0
18:25:42 - Time: 1752510342.040, current_contact_force: 0.0
18:25:42 - Time: 1752510342.044, current_contact_force: 0.0
18:25:42 - Time: 1752510342.052, current_contact_force: 0.0
18:25:42 - Time: 1752510342.056, current_contact_force: 0.0
18:25:42 - Time: 1752510342.059, current_contact_force: 0.0
18:25:42 - Time: 1752510342.066, current_contact_force: 0.0
18:25:42 - Time: 1752510342.069, current_contact_force: 0.0
18:25:42 - Time: 1752510342.071, current_contact_force: 0.0
18:25:42 - Time: 1752510342.074, current_contact_force: 0.0
18:25:42 - Time: 1752510342.077, current_contact_force: 0.0
18:25:42 - Time: 1752510342.086, current_contact_force: 0.0
18:25:42 - Time: 1752510342.094, current_contact_force: 0.0
18:25:42 - Time: 1752510342.101, current_contact_force: 0.0
18:25:42 - Time: 1752510342.106, current_contact_force: 0.0
18:25:42 - Time: 1752510342.113, current_contact_force: 0.0
18:25:42 - Time: 1752510342.116, current_contact_force: 0.0
18:25:42 - Time: 1752510342.120, current_contact_force: 0.0
18:25:42 - Time: 1752510342.128, current_contact_force: 0.0
18:25:42 - Time: 1752510342.130, current_contact_force: 0.0
18:25:42 - Time: 1752510342.136, current_contact_force: 0.0
18:25:42 - Time: 1752510342.138, current_contact_force: 0.0
18:25:42 - Time: 1752510342.143, current_contact_force: 0.0
18:25:42 - Time: 1752510342.147, current_contact_force: 0.0
18:25:42 - Time: 1752510342.151, current_contact_force: 0.0
18:25:42 - Time: 1752510342.154, current_contact_force: 0.0
18:25:42 - Time: 1752510342.157, current_contact_force: 0.0
