epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,elapsed_s
85,-533.1815,501.0,-0.005915,966.240723,0.016221,10,7,63.95
86,-522.1177,501.0,-0.004439,780.166016,0.016497,8,7,67.65
87,-507.7599,501.0,-0.008466,841.921692,0.015327,17,7,64.32
88,-508.8774,501.0,-0.004349,603.071350,0.015078,10,7,64.45
89,-515.3581,501.0,-0.013008,539.824646,0.015024,38,7,64.38
90,-491.9991,501.0,-0.009155,576.231689,0.015431,28,7,65.38
91,-477.2165,501.0,-0.015834,533.276489,0.015145,64,7,64.75
92,-473.7750,501.0,-0.012174,574.547974,0.015327,46,7,64.65
93,-446.5709,501.0,-0.015079,498.805786,0.012962,80,7,65.04
94,-471.5162,501.0,-0.005032,578.617737,0.017317,8,7,65.23
95,-475.0136,501.0,-0.015823,561.113220,0.014157,80,7,64.42
96,-470.7736,501.0,-0.003766,436.903870,0.016479,5,7,65.11
97,-453.2958,501.0,-0.016801,465.936584,0.013175,80,7,65.34
98,-439.7997,501.0,-0.013062,434.559875,0.015168,49,7,65.15
99,-457.3885,501.0,-0.004612,853.915710,0.015591,6,7,63.85
100,-432.1220,501.0,-0.006363,378.314026,0.015002,16,7,65.03
101,-427.8725,501.0,-0.002672,516.720764,0.015630,6,7,65.10
102,-422.9680,501.0,-0.006883,479.139679,0.015981,17,7,64.59
103,-423.4382,501.0,-0.016727,334.463867,0.015042,63,7,64.93
104,-427.3859,501.0,-0.005674,395.841217,0.015879,9,7,64.49
105,-436.5819,501.0,-0.003353,440.137512,0.018382,5,7,66.39
106,-416.9762,501.0,-0.006626,314.984161,0.015044,14,7,64.98
107,-432.1752,501.0,-0.004201,480.413879,0.015508,6,7,63.68
108,-466.8389,501.0,-0.006628,1896.126099,0.017435,7,7,64.20
109,-429.3449,501.0,-0.004467,426.983948,0.015168,8,7,66.23
110,-424.3911,501.0,-0.012414,512.665161,0.015147,28,7,64.36
111,-419.6729,501.0,-0.004816,405.553864,0.017276,7,7,65.67
112,-595.8192,501.0,-0.011243,11713.629883,0.015859,4,7,63.89
113,-398.3308,501.0,-0.003929,453.523895,0.015606,7,7,65.92
114,-402.3991,501.0,-0.009412,350.310089,0.015003,31,7,64.75
115,-759.2921,496.0,-0.010058,37575.035156,0.015619,3,8,63.55
116,-410.2383,501.0,-0.011103,961.554443,0.015031,35,7,63.82
117,-422.3357,501.0,-0.002067,538.342224,0.015385,3,7,66.05
118,-405.8700,501.0,-0.002284,501.632385,0.016222,6,7,63.86
119,-390.5871,501.0,-0.003713,409.897430,0.016863,6,7,68.82
120,-428.9880,501.0,-0.003381,424.990295,0.018096,6,7,68.88
121,-404.0242,501.0,-0.002713,368.655853,0.017328,10,7,69.01
122,-391.7249,501.0,-0.003165,368.035492,0.016139,7,7,67.95
123,-415.4819,501.0,-0.009448,448.834167,0.015332,28,7,68.69
124,-387.1875,501.0,-0.014116,303.941833,0.011322,80,7,70.14
125,-394.6717,501.0,-0.014623,358.132904,0.015086,57,7,67.69
126,-389.1090,501.0,-0.010486,352.448364,0.015492,23,7,68.25
127,-380.6730,501.0,-0.002106,314.821533,0.015471,4,7,67.92
128,-412.6967,501.0,-0.004192,604.372253,0.015352,6,7,69.38
129,-374.3635,501.0,-0.007667,323.781738,0.015461,21,7,68.52
130,-382.1385,501.0,-0.006027,324.763611,0.015296,11,7,67.10
131,-388.4174,501.0,-0.014610,297.341919,0.015161,52,7,64.22
132,-375.1503,501.0,-0.009073,333.994019,0.015631,14,7,66.26
133,-377.9439,501.0,-0.004184,322.260376,0.015456,8,7,63.68
134,-389.0116,501.0,-0.008567,312.456360,0.015050,20,7,63.74
135,-356.7076,501.0,-0.004644,257.595032,0.015288,9,7,64.86
136,-381.3698,501.0,-0.010243,328.690826,0.015309,24,7,66.25
137,-400.3743,501.0,-0.006199,465.090668,0.015947,9,7,65.31
138,-357.5216,501.0,-0.003488,288.323792,0.015734,6,7,63.48
139,-358.4313,501.0,-0.003917,262.684021,0.015188,7,7,64.65
140,-373.4343,501.0,-0.009414,436.799591,0.016093,21,7,64.54
141,-376.6435,501.0,-0.015455,346.605865,0.015256,66,7,64.96
142,-348.4204,501.0,-0.001843,269.570740,0.016824,2,7,64.32
143,-373.2820,501.0,-0.002955,302.478577,0.018792,5,7,65.59
144,-359.6940,501.0,-0.004115,238.653381,0.015482,8,7,63.98
145,-343.2668,501.0,-0.010233,258.154785,0.015086,28,7,63.97
146,-355.0903,501.0,-0.007682,255.338470,0.015018,19,7,64.87
147,-337.1488,501.0,-0.010252,252.143387,0.015023,31,7,65.70
148,-343.0247,501.0,-0.003635,274.189148,0.015147,8,7,64.49
149,-352.1827,501.0,-0.004094,287.872314,0.015916,6,7,63.87
150,-334.2670,501.0,-0.012371,237.783691,0.015303,57,7,64.59
151,-343.6323,501.0,-0.004556,234.643417,0.016425,7,7,65.78
152,-333.6538,501.0,-0.004953,241.876129,0.015675,8,7,64.38
153,-331.5964,501.0,-0.004062,212.442505,0.015350,6,7,64.17
154,-343.4611,501.0,-0.004442,251.347748,0.017778,6,7,64.63
155,-331.9977,501.0,-0.004119,399.918274,0.017390,7,7,66.54
156,-320.7927,501.0,0.013795,45925.144531,0.021865,3,7,63.29
157,-345.4680,501.0,-0.003700,678.864075,0.015777,6,7,64.19
158,-340.5782,501.0,-0.002735,518.319397,0.016131,4,7,64.49
159,-324.6806,501.0,-0.005129,369.291046,0.016845,10,7,65.20
160,-336.3412,501.0,-0.010214,345.093903,0.015131,29,7,63.24
161,-322.2919,501.0,-0.004630,281.499451,0.015159,8,7,65.12
162,-317.5213,501.0,-0.008336,229.273514,0.015135,26,7,64.67
163,-315.9806,501.0,-0.005754,210.095901,0.016353,7,7,64.12
164,-308.7781,501.0,-0.008888,220.075439,0.015058,32,7,64.45
165,-313.8423,501.0,-0.005470,195.639923,0.017569,10,7,65.02
166,-311.9694,501.0,-0.014355,193.032150,0.015100,62,7,64.78
167,-311.8043,501.0,-0.007374,210.315750,0.015186,18,7,64.82
168,-302.0259,501.0,-0.010507,173.956680,0.015013,28,7,64.38
169,-311.5961,501.0,-0.013012,201.474503,0.015245,56,7,65.06
170,-301.9141,501.0,-0.009405,173.410248,0.015153,36,7,65.06
171,-283.4273,501.0,-0.015369,164.289444,0.015090,71,7,64.44
172,-323.3150,501.0,-0.005776,533.684509,0.015394,8,7,63.92
173,-288.5933,501.0,-0.002845,178.013290,0.015411,6,7,63.68
174,-298.9496,501.0,-0.004661,179.918823,0.016175,7,7,70.91
175,-303.5044,501.0,-0.005623,252.463226,0.015039,10,7,64.21
176,-286.7028,501.0,-0.015791,160.672638,0.014839,80,7,63.89
177,-279.2275,501.0,-0.011029,165.829056,0.015148,40,7,63.99
178,-271.0389,501.0,-0.005999,154.799942,0.015101,9,7,65.76
179,-278.9034,501.0,-0.006457,131.183533,0.016114,13,7,63.63
180,-268.8627,501.0,-0.003653,141.701324,0.015674,7,7,63.47
181,-271.4400,501.0,-0.013843,136.386154,0.015072,64,7,63.17
182,-264.3267,501.0,-0.015197,128.560822,0.015045,58,7,65.69
183,-258.9287,501.0,-0.004514,134.578339,0.015692,6,7,64.33
184,-257.8089,501.0,-0.003871,125.823601,0.016317,4,7,64.26
185,-266.4626,501.0,-0.004129,170.863297,0.017551,7,7,64.43
186,-271.6728,501.0,-0.002225,142.374283,0.016771,5,7,65.57
187,-263.0521,501.0,-0.004202,122.291183,0.016099,7,7,63.62
188,-265.9258,501.0,-0.002911,150.262054,0.016595,8,7,64.23
189,-257.6184,501.0,-0.003469,131.574463,0.015934,8,7,63.99
190,-262.6444,501.0,-0.002464,134.582611,0.020715,5,7,65.53
191,-263.0037,501.0,-0.004541,122.232231,0.015526,8,7,64.23
192,-268.9655,501.0,-0.003581,138.848679,0.015133,7,7,65.40
193,-265.1390,501.0,-0.004193,145.814667,0.019380,5,7,66.30
194,-260.0599,501.0,-0.004155,137.571609,0.016865,6,7,65.17
195,-269.0382,501.0,-0.003708,151.181808,0.020564,4,7,64.30
196,-255.9161,501.0,-0.014756,122.205009,0.013228,80,7,64.01
197,-253.5407,501.0,-0.014530,120.164566,0.015222,72,7,66.05
198,-256.7475,501.0,-0.010932,137.218735,0.015070,27,7,64.66
199,-253.0121,501.0,-0.006887,134.855377,0.016262,8,7,63.26
200,-261.0234,501.0,-0.002461,137.983749,0.017434,4,7,63.34
