epoch,mean_ret,mean_len,pi_loss,vf_loss,kl,pi_iters,n_episodes,rmse_curve,rmse_line,rmse_hold,elapsed_s
1,nan,nan,-0.019344,14114.492188,0.015047,34,0,2.3402,1.9254,nan,15.02
2,-788.7004,501.0,-0.008025,8955.498047,0.016689,8,8,2.0437,1.7880,nan,10.38
3,-680.7842,501.0,-0.009758,8133.660156,0.016194,8,8,1.9785,1.7792,nan,10.53
4,-690.9218,501.0,-0.008358,5133.823730,0.015945,10,8,1.7716,1.6491,nan,10.77
5,-593.4568,501.0,-0.006550,5270.311523,0.015051,10,8,1.8615,1.5522,nan,11.12
6,-610.3538,501.0,-0.006671,4109.754883,0.016449,8,8,1.7239,1.6721,nan,11.07
7,-596.5627,501.0,-0.005342,3688.519043,0.016709,7,8,1.7424,1.6284,nan,10.92
8,-596.9050,501.0,-0.007358,2420.039795,0.015731,13,8,1.5684,1.6049,nan,11.61
9,-551.4304,501.0,-0.006115,2225.557129,0.016014,10,8,1.5676,1.6142,nan,10.62
10,-548.6287,501.0,-0.019313,1929.310791,0.014506,80,8,1.4457,1.6266,nan,10.80
11,-539.5919,501.0,-0.007169,1736.732788,0.015752,11,8,1.5891,1.5945,nan,10.46
12,-532.8089,501.0,-0.016595,1760.396362,0.015084,64,8,1.6094,1.6609,nan,11.41
13,-554.4887,501.0,-0.006252,1348.599243,0.015135,10,8,1.6060,1.4730,nan,10.61
14,-544.4446,501.0,-0.006582,1175.863525,0.017344,7,8,1.5684,1.5710,nan,10.64
15,-539.6529,501.0,-0.004180,940.278931,0.016376,10,8,1.6068,1.5232,nan,10.45
16,-524.6889,501.0,-0.006082,3243.537598,0.015416,9,8,2.1267,2.1748,nan,10.75
17,-615.7829,501.0,-0.005818,630.681641,0.015713,13,8,1.3542,1.5622,nan,10.56
18,-500.7678,501.0,-0.005915,527.460999,0.015774,10,8,1.5269,1.5235,nan,10.67
19,-508.4077,501.0,-0.005224,757.444641,0.015310,10,8,1.5705,1.6254,nan,10.51
20,-542.4530,501.0,-0.016507,495.472382,0.015021,75,8,1.4851,1.5831,nan,10.79
21,-507.0208,501.0,-0.007840,496.403259,0.015298,15,8,1.4845,1.5769,nan,10.53
22,-501.7337,501.0,-0.004115,528.049194,0.015446,8,8,1.5608,1.4209,nan,11.44
23,-516.6249,501.0,-0.006068,539.353516,0.016955,7,8,1.5345,1.3723,nan,11.71
24,-504.4206,501.0,-0.005031,19044.830078,0.015210,7,8,2.9535,1.5504,nan,11.80
25,-661.6124,501.0,-0.004823,425.463867,0.015169,12,8,1.4519,1.4527,nan,11.55
26,-483.5934,501.0,-0.005867,316.781555,0.015563,11,8,1.5547,1.6714,nan,11.00
27,-535.4646,501.0,-0.004172,446.030792,0.016225,9,8,1.5814,1.5172,nan,11.04
28,-513.9345,501.0,-0.018126,485.510590,0.015131,49,8,1.4083,1.5567,nan,10.77
29,-482.1910,501.0,-0.006348,490.417969,0.015252,11,8,1.4518,1.4603,nan,10.53
30,-484.6220,501.0,-0.018915,301.431854,0.014225,80,8,1.2785,1.4248,nan,11.00
31,-449.1703,501.0,-0.012680,1562.678833,0.015071,26,8,1.4213,2.1255,nan,10.92
32,-532.0646,501.0,-0.020348,27532.873047,0.008047,80,8,4.2329,1.9053,nan,10.78
33,-741.3057,501.0,-0.005727,400.968018,0.015465,9,8,1.3420,1.4725,nan,10.96
34,-460.3530,501.0,-0.005638,82514.273438,0.015188,7,8,1.5750,5.1724,nan,10.73
35,-1021.2674,501.0,-0.007372,1755.313477,0.016073,8,8,2.0762,2.0905,nan,10.48
36,-540.3202,501.0,-0.004804,430.535553,0.015312,9,8,1.4224,1.4448,nan,10.61
37,-476.2396,501.0,-0.006702,320.433228,0.016175,8,8,1.4440,1.5376,nan,10.68
38,-493.0315,501.0,-0.019741,81933.843750,0.003318,80,8,1.5014,5.5977,nan,10.87
39,-1045.8304,501.0,-0.008647,713.843323,0.015047,13,8,1.3759,2.9851,nan,11.04
40,-456.0865,501.0,-0.006517,257.179810,0.015072,11,8,1.5214,1.4454,nan,11.12
41,-499.6992,501.0,-0.007579,428.404755,0.015390,13,8,1.3830,1.3864,nan,10.97
42,-458.6546,501.0,-0.005039,350.657288,0.015098,10,8,1.4321,1.4124,nan,10.98
43,-475.7815,501.0,-0.005530,424.104004,0.015887,9,8,1.5827,1.4127,nan,10.93
44,-480.4792,501.0,-0.005733,421.164368,0.015646,12,8,1.4084,1.6186,nan,10.69
45,-469.2128,501.0,-0.011566,391.703186,0.015190,22,8,1.3030,1.4370,nan,10.40
46,-442.5888,501.0,-0.019876,84169.937500,0.005920,80,8,5.6856,1.4856,nan,10.55
47,-1039.0831,501.0,-0.007483,1013.898438,0.016425,10,8,2.4508,1.3363,nan,10.38
48,-444.3967,501.0,-0.005367,400.192871,0.017488,8,8,1.2892,1.2647,nan,10.67
49,-422.2298,501.0,-0.010542,356.559204,0.015132,21,8,1.3755,1.4478,nan,10.54
50,-471.3407,501.0,-0.010220,401.447357,0.015269,20,8,1.2938,1.5132,nan,10.90
51,-453.1647,501.0,-0.006430,343.465240,0.015848,10,8,1.3747,1.4031,nan,10.61
52,-452.8842,501.0,-0.019168,392.808472,0.015076,78,8,1.2777,1.3633,nan,10.72
53,-438.1603,501.0,-0.005643,364.753876,0.017706,7,8,1.3120,1.3663,nan,10.59
54,-445.0846,501.0,-0.004633,195.379669,0.018019,8,8,1.2742,1.2161,nan,10.53
55,-412.9502,501.0,-0.004507,227.074310,0.015624,9,8,1.3238,1.2924,nan,10.34
56,-428.7570,501.0,-0.011734,330.258392,0.015048,31,8,1.3702,1.2944,nan,10.92
57,-421.5818,501.0,-0.017470,65861.445312,-0.000394,80,8,1.3108,4.7582,nan,11.30
